Merge ID	Ishihama2008_s2(1)F	Masuda_et_al_Supple_rev2009(5)F	PengTable(2)L	# Identified
	1090	1570	4155	Novel: 3
P0A8F0	1	1	1	3	A | ;2,78E+03 | ;4,32 | ;4,32 | ; | 
P0A8F4	1	1	1	3	A | ;1,86E+02 | ;1,34 | ;1,34 | ; | 
P0A8F8	0	1	1	2	A | ;1,05 | ;1,05 | ; | 
P0A8G0	0	0	1	1	A | ; | 
P0A8G3	0	1	1	2	A | ;0,18 | ; | 
P0A8I1	0	0	1	1	A | ; | 
P0A8I3	1	0	1	2	A | ;2,12E+02 | ; | 
P0A8I5	0	1	1	2	A | ;0,82 | ;0,82 | ; | 
P0A8I8	0	0	1	1	A_trl | ; | 
P0A8J4	1	1	1	3	A | ;2,66E+03 | ;1,35 | ;1953,71 | 
P0A8J8	1	1	1	3	A | ;2,41E+02 | ;1,39 | ;1,39 | ; | 
P0A8L1	1	1	1	3	A_trl | ;1,91E+03 | ;0,43 | ;0,43 | ;1074,38 | 
P0A8L5	0	0	1	1	A | ; | 
P0A8L7	0	0	1	1	A | ; | 
P0A8M0	1	1	1	3	A_trl | ;2,18E+03 | ;3,57 | ;3,57 | ;4388,18 | 
P0A8M3	1	1	1	3	A_trl | ;9,50E+02 | ;18,32 | ;18,32 | ;822,19 | 
P0A8M6	1	1	1	3	A | ;2,66E+03 | ;12,28 | ; | 
P0A8N0	0	1	1	2	A | ;0,82 | ; | 
P0A8N3	1	1	1	3	A_trl | ;2,94E+03 | ;0,81 | ;0,81 | ;2126,53 | 
P0A8N5	1	1	1	3	A_trl | ;6,58E+02 | ;2,41 | ;2,41 | ; | 
P0A8N7	1	0	1	2	A | ;3,56E+02 | ; | 
P0A8P1	0	0	1	1	A_trl | ; | 
P0A8P3	1	1	1	3	A | ;7,04E+02 | ;1,27 | ;1036,42 | 
P0A8Q6	0	0	1	1	A | ; | 
P0A8R7	0	1	1	2	B | ;0,89 | ; | 
P0A8S1	0	1	1	2	A | ;0,17 | ; | 
P0A8S5	0	0	1	1	B | ; | 
P0A8T7	1	1	1	3	A | ;4,18E+03 | ;3,95 | ;3,95 | ;4044,52 | 
P0A8U0	0	0	1	1	F1 | ; | 
P0A8U2	0	0	1	1	A | ; | 
P0A8U6	1	1	1	3	A | ;4,53E+02 | ;2,04 | ; | 
P0A8V2	1	1	1	3	A | ;5,59E+03 | ;3,87 | ;3,87 | ;4425,6 | 
P0A8V6	1	1	1	3	A | ;2,95E+02 | ;1,84 | ;1,84 | ; | 
P0A8W0	0	0	1	1	A | ; | 
P0A8W2	0	1	1	2	A | ;4,87 | ; | 
