A		55.23	3.41	1.24	2.13	P39177
B	0.34	1.09		2.35	1.25	P39321
A_trl		2.55		0.99	0.64	P39406
A		7.25		3.14	4.22	P39831
A		0.26	3.32	1.76	1.24	P43329
B	0.32	0.23	2.33	1.4	1.2	P43671
A		10.45				P45577
A		13.68		5.15	4.44	P45578
A_trl	0.25	0.58		1.58	1.12	P45748
I	0.42	1.51		4.62	3.25	P46130
A	0.45	1.73		2.61	2.25	P46837
A	0.38	1.51		0.62	1.15	P46853
B		0	6.28	2.37	2.14	P46889
A		0.47	2.81	2.08	1.65	P51024
A		3.12	2.42	1.45	1.46	P52643
A		0.25		0.43	0.81	P52647
A_trl		28.76	28.21	25.52	36.75	P60422
A_trl		24.81	29	40.2	42.56	P60438
A		2.83	8.39	4.69	3.35	P60546
B		28.76	5.93	4.18	3.89	P60560
A_trl		1.467	28.64	55.41	57.76	P60624
A		5.11	4.38	2.16	2.21	P60651
A		6.94	1.8	1.39	1.12	P60716
A_trl		64.79	30.17	34.03	49.93	P60723
B	0.39	0.91	2.93	1.28	0.94	P60752
A		0.37	11.72	4.26	6.68	P60757
F1		8.28	4.7	2.19	1.91	P60785
A_trl		3.05	9.61	4.51	4.16	P60906
A_trl		9.999	35	43.53	46.51	P61175
G	0.41	0.33	5.56	3.35	3.33	P61316
I		1.05	8.7	2.46	4.26	P61320
A		16.78	19.17	22.58	21.74	P61517
A		315.23	10.83	5.54	4.72	P61714
F1		86.99	22.66	23.21	22.5	P61889
A		18.31	10.73	8.13	8.6	P61949
A		2.46	5.99	3.06	1.77	P62620
A		1.07	2.94	2.38	1.66	P62623
A		9.86	9.91	8.11	6.45	P62707
A	0.38	9	4.82	1.84	1.41	P62768
A		9		7.26	5.69	P63020
A	0.48	11.12	5.65	2.87	3.74	P63224
A		12.53	3.38	1.88	2	P63284
F1	0.4	0.55		1.51	1.75	P63389
A		2.16		0.93	0.54	P64554
A		0.93		0.5	0.67	P64588
G		7.11		3.74	4.82	P64604
A		0.85		2.39	2.23	P64624
A		3.39		2.88	3.2	P67080
A		17.96	9.16	3.44	5.21	P67910
A		2.56	5.97	2.42	3.08	P68767
B		2.59			2.92	P69425
A		17.96	14.33	10.84	9.74	P69441
A		24.12	7.01	5.36	4.18	P69503
F1		9	13.96	13.63	10.01	P69783
B		7.58	16	10.29	2.01	P69786
B	0.53	2.46	3.63	1.42	1.14	P69805
F1	0.37	2.73	6.65	4.46	6.37	P69829
F1	0.37	0.86	4.08	3.15	1.46	P69874
B		4.48	5.32	1.85	1.95	P69924
H		0.13			0.46	P75780
A		0.62		1.51	1.88	P75823
A		2.51		0.87	0.34	P75838
A		0.78		2.23	2.01	P75849
A_trl		1		1.06	0.99	P75864
A_trl		3.22			1.22	P75876
A		4.99		2.39	1.63	P75915
A		0.62		3.86	3.85	P75949
F1		0.47		1.09	1.05	P75957
A		0.67			0.31	P76034
A		0.87		1.98	0.32	P76055
A		1.15		1.39	1.33	P76256
A		1.85			0.71	P76268
A		0.72		1.17	1.24	P76290
A		1.65		1	0.72	P76403
A		1.15			1.05	P76503
I	0.37	2.46	4.65	4.06	1.69	P76506
A		8.47			6.03	P76558
B		1.58			3.69	P76576
A		3.52	2.43	0.95	0.93	P76658
A		2.51	1.71	0.59	0.53	P77258
B		0.08	2.14	2	0.62	P77338
A		1.96			1.15	P77552
I		3.08			2.37	P77774
F2		4.62		1.8	4.71	P77804
A		2.98	3.23	1.47	2.38	Q46829
A		0.41		0.8	0.69	Q46920
A		1		3.09	3.12	Q57261
A	0.39	2.59	2.15	1.46	1.03	P00582
A_trl		6.16	14.9	13.38	8.6	P00957
A_trl		27.94	6.98	2.77	5.08	P00960
F1		0.48	4.03	1.7	1.11	P03004
H	0.41	1.87	2.4	1.07	1.14	P05825
F1	0.61	17.84	15.95	8.97	10.16	P06959
A_trl		0	14.25	8	10.82	P07012
G	0.38	0.45	5.45	2.3	2.41	P07024
A		21.68	15.64	10.26	12.97	P07395
A		6.63	8.4	3.53	5.6	P08622
A	0.38	0.35	4.72	2.68	0.94	P08660
