Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z
C6EB41_ECOBD	13	7		814.299183833333	-0.116841700782877
C6EAU0_ECOBD	13	4		1078.33246097222	-0.00532760472610092
C6EAS2_ECOBD	13	7		983.868999583333	-0.314470091312197
C6EAS1_ECOBD	13	8		1091.02875233333	0.315182055263577
C6EAS0_ECOBD	14	3		619.944756666667	-0.311910774410774
C6EAE6_ECOBD	16	9		876.705891333333	-0.452023922579478
C6EAE3_ECOBD	14	8		782.0001385	-0.234437444739169
C6EA64_ECOBD	23	12		775.326508333333	-0.317422633947196
C6EA60_ECOBD	23	11		734.00536465	-0.644621023658457
C6EA39_ECOBD	21	13		826.129802105263	-0.348606564375795
C6EA38_ECOBD	20	14		737.542835	-0.0499319529676673
C6EA37_ECOBD	16	11		886.09640004902	-0.291983438389293
C6EA34_ECOBD	24	10		705.410287395833	-0.59099555999556
C6EA32_ECOBD	15	8		974.993239416667	-0.0629880000245713
C6ELQ6_ECOBD	23	14		756.660026416667	-0.346817924139353
C6ELQ1_ECOBD	10	5		723.059843	-0.28331746031746
C6ELM2_ECOBD	20	13		750.733527222222	-0.426592510054049
C6EL21_ECOBD	13	7		716.735221018518	-0.521213806035235
C6EJN3_ECOBD	22	11		717.262978181818	-0.408586425651643
C6EJL9_ECOBD	11	6		914.233655121212	-0.142248425594014
C6EJM2_ECOBD	18	11		859.499490888889	-0.277352018383428
C6EJJ1_ECOBD	10	2		974.42339	-0.986309523809524
C6EIY0_ECOBD	6	4		989.49909	0.414112487100103
C6EIU0_ECOBD	4	3		981.042590071429	0.295555555555556
C6EI38_ECOBD	19	13		855.083029375	-0.0914114132581874
C6EI44_ECOBD	9	7		832.843823571429	0.221333310652196
C6EI43_ECOBD	23	15		717.166413666667	-0.00820875420875424
C6EI41_ECOBD	16	10		834.114042333333	-0.148117887624467
C6EI40_ECOBD	9	1		1368.88205125	0.704651162790698
C6EI39_ECOBD	10	8		815.1497575	-0.180184294871795
C6EI17_ECOBD	22	10		757.756854090909	-0.0640056479468245
C6EGT9_ECOBD	10	2		942.4392425	-0.758994708994709
C6EGP4_ECOBD	16	12		939.369086145833	-0.445706953864849
C6EEV6_ECOBD	17	8		976.0574775	0.124200192923019
C6EEW1_ECOBD	12	6		677.422063571429	-0.105823361823362
C6EEU3_ECOBD	6	3		711.681783333333	0.458014354066986
C6EES3_ECOBD	21	12		886.784176845238	-0.260929903429904
C6EEP5_ECOBD	13	3		897.368729	-0.566086956521739
C6EDV0_ECOBD	14	6		776.142000952381	-0.0773944805194805
