Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Fountoulakis2003	Corbin2003	Taoka2004	Butland2005	Lopez2005	Spelbrink2005	Stenberg2005	Wagner2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Wagner2008	Xia2008	Qian2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Peng2010	Price2010	Wickstrom2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	P0A786	P0AE06	P76316	P36683	P24182	Q9S4X5	P00350	P31119	P60560	P0AG44	P0A9P0	P08660	P17583	P00363	P0A6F5	P0A6H8	P0AC47	P0ADE4	P06129	P0ADT8	P45763	P02925	P00363	P00634	P0A910	C1P619	P0ACV0	Q46798	A5A615	P00561	P0AFG8	P25714	P00350	Accession
P08371	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	B	PPDB_ECOLI			P08371										P08371																	P08371				
P08395	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	12	B	SPPA_ECOLI			P08395			P08395			P08395				P08395			P08395	P08395				P08395		P08395			P08395	P08395			P08395				P08395
P08400	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	7	B	PHOR_ECOLI								P08400					P08400			P08400										P08400	P08400			P08400				P08400
P08401	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	6	B	CREC_ECOLI								P08401					P08401													P08401	P08401			P08401				P08401
P08506	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	15	F2	DACC_ECOLI			P08506		P08506	P08506	P08506					P08506	P08506	P08506		P08506					P08506		P08506			P08506	P08506			P08506		P08506		P08506
P08550	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	B	CVPA_ECOLI								P08550																						P08550				
P08839	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	14	F1	PT1_ECOLI			P08839	P08839	P08839	P08839	P08839	P08839	P08839				P08839		P08839		P08839									P08839	P08839			P08839				P08839
P09152	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	12	F1	NARG_ECOLI			P09152		P09152		P09152	P09152					P09152				P09152				P09152					P09152	P09152			P09152	P09152			P09152
P09348	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	B	MOTA_ECOLI								P09348					P09348								P09348						P09348							
P09391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	5	B	GLPG_ECOLI																P09391					P09391					P09391	P09391							P09391
