Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Corbin2003	Fountoulakis2003	Taoka2004	Butland2005	Lopez_Campistrous2005	Spelbrink2005	Stenberg2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Muller2010	Pan2010	Price2010	Thein2010	Wickstrom2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_conBL21 Duplicates	Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	P0A786	P0AE06	P76316	P36683	Q9S4X5	P24182	P00350	P31119	P60560	P0AG44	P0A9P0	P17583	P00363	P0A6F5	P0A6H8	P0AC47	P0ADE4	P06129	P0ADT8	P45763	P02925	P0A910	P00363	P00634	C1P619	P0ACV0	Q46798	A5A615	P00350	P00448	P0AFG8	P25714	P0A910	P00350	Accession
P05050	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	B	ALKB_ECOLI	C6E9Y7_ECOBD								P05050																					P05050						
P05458	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	7	G	PTRA_ECOLI	C6EJ48_ECOBD			P05458		P05458		P05458		P05458			P05458																	P05458						P05458
P05824	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	B	RECN_ECOLI	C6EJX7_ECOBD								P05824				P05824														P05824									
P06136	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	6	B	FTSQ_ECOLI	C6EAW2_ECOBD												P06136			P06136										P06136	P06136			P06136						P06136
P06149	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	16	F1	DLD_ECOLI	C6EAH8_ECOBD			P06149		P06149	P06149	P06149			P06149		P06149			P06149	P06149				P06149			P06149		P06149	P06149			P06149		P06149		P06149		P06149
P06282	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	8	B	CDH_ECOLI	C6EEY0_ECOBD							P06282					P06282			P06282					P06282					P06282	P06282			P06282						P06282
P06611	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	5	F1	BTUD_ECOLI	C6ECP8_ECOBD												P06611													P06611	P06611			P06611						P06611
P06616	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	8	F1	ERA_ECOLI	C6EK21_ECOBD							P06616	P06616				P06616													P06616	P06616			P06616				P06616		P06616
P06709	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	5	B	BIRA_ECOLI	C6EE41_ECOBD								P06709				P06709														P06709			P06709						P06709
P07000	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	F1	PLDB_ECOLI	C6EF86_ECOBD												P07000																	P07000						P07000
P07001	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	12	B	PNTA_ECOLI	C6EDP5_ECOBD			P07001		P07001		P07001	P07001							P07001					P07001			P07001		P07001	P07001			P07001				P07001		P07001
P07003	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	13	F1	POXB_ECOLI	C6EIB0_ECOBD			P07003		P07003	P07003	P07003					P07003	P07003			P07003			P07003				P07003		P07003	P07003			P07003						P07003
P07014	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	20	F1	DHSB_ECOLI	C6EJL3_ECOBD			P07014		P07014	P07014	P07014		P07014		P07014	P07014	P07014	P07014	P07014				P07014	P07014			P07014		P07014	P07014			P07014		P07014		P07014	P07014	P07014
P07021	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	I	YFIB_ECOLI	C6EJY7_ECOBD								P07021																		P07021									
P07102	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	G	PPA_ECOLI	C6EHM7_ECOBD						P07102						P07102																	P07102						
P07109	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	8	F1	HISP_ECOLI	C6ELE7_ECOBD					P07109		P07109					P07109			P07109					P07109									P07109			P07109			P07109
P07650	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	10	B	TYPH_ECOLI	C6EBI9_ECOBD			P07650		P07650		P07650					P07650				P07650				P07650					P07650	P07650			P07650						P07650
P07654	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	B	PSTA_ECOLI	C6EG77_ECOBD												P07654													P07654										P07654
