Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6EK08_ECOBD	0	0	0	B
C6EHR9_ECOBD	0	0	0	A
C6EHS1_ECOBD	0	1	1	A
C6ECX6_ECOBD	1	1	2	I
C6E9Z0_ECOBD	0	1	1	G
C6EAE4_ECOBD	0	0	0	G
C6EBX7_ECOBD	0	1	1	A
C6EGC4_ECOBD	1	1	2	A
C6ECX8_ECOBD	0	1	1	A
C6EA26_ECOBD	0	1	1	A
C6EAB5_ECOBD	1	1	2	A
C6EGC5_ECOBD	1	1	2	F1
C6EE39_ECOBD	1	1	2	F1
C6E9T2_ECOBD	0	1	1	A
C6E9T3_ECOBD	0	1	1	B
C6E9T0_ECOBD	0	0	0	A
C6EH18_ECOBD	0	1	1	A
C6EJU1_ECOBD	1	1	2	B
C6EJU0_ECOBD	0	1	1	B
C6ED95_ECOBD	0	0	0	B
C6ELA0_ECOBD	0	0	0	G
C6ELA1_ECOBD	0	0	0	B
C6EGS4_ECOBD	0	1	1	I
C6EIG6_ECOBD	0	0	0	G
C6EDL3_ECOBD	0	1	1	A
C6EAF4_ECOBD	0	1	1	A
C6EJM4_ECOBD	0	1	1	A
C6EKJ8_ECOBD	1	1	2	A
C6EF37_ECOBD	1	1	2	A
C6EGR3_ECOBD	1	1	2	A
C6EJ93_ECOBD	1	1	2	A
C6EK98_ECOBD	0	0	0	A
C6EK99_ECOBD	0	0	0	F1
C6EKA1_ECOBD	0	1	1	A
C6EKB3_ECOBD	0	0	0	A
C6EKA0_ECOBD	0	1	1	F1
C6EKA9_ECOBD	1	1	2	F1
C6EKA4_ECOBD	0	0	0	B
C6EGJ6_ECOBD	0	0	0	A
C6EFH0_ECOBD	0	1	1	B
C6ED10_ECOBD	1	1	2	B
C6EED5_ECOBD	0	0	0	B
C6EK21_ECOBD	1	1	2	F1
C6EB82_ECOBD	0	1	1	G
C6EAC8_ECOBD	0	1	1	A
C6EHM6_ECOBD	0	1	1	B
C6EHM5_ECOBD	0	1	1	A
C6EKR2_ECOBD	0	1	1	B
C6EKR3_ECOBD	0	0	0	A
C6EKR4_ECOBD	0	1	1	A
C6EKQ4_ECOBD	0	0	0	A
C6EKQ7_ECOBD	0	0	0	A
C6EKQ9_ECOBD	0	0	0	A
C6EKR1_ECOBD	0	0	0	B
C6EKQ8_ECOBD	0	0	0	A
C6EKR6_ECOBD	0	0	0	A
C6EKR5_ECOBD	0	1	1	A
C6EKQ5_ECOBD	0	0	0	A
C6EKQ6_ECOBD	0	0	0	A
C6EKQ1_ECOBD	0	0	0	A
C6EKQ2_ECOBD	0	0	0	A
C6EKR7_ECOBD	0	0	0	A
C6EKQ0_ECOBD	0	0	0	A
C6EKQ3_ECOBD	0	0	0	A
C6EL99_ECOBD	0	1	1	A
C6EL98_ECOBD	0	0	0	B
C6EB72_ECOBD	0	1	1	A
C6ECK8_ECOBD	0	1	1	A
C6EJ50_ECOBD	0	1	1	A
C6EJ49_ECOBD	0	1	1	A
C6EJ47_ECOBD	0	1	1	A
C6EKK0_ECOBD	0	1	1	A
C6EL47_ECOBD	0	0	0	A
C6EHY7_ECOBD	1	1	2	B
C6EHY8_ECOBD	0	0	0	B
C6EBY5_ECOBD	0	1	1	A
C6EHQ0_ECOBD	0	1	1	A
C6EHQ1_ECOBD	0	0	0	B
C6ECB7_ECOBD	0	1	1	A
C6EI28_ECOBD	0	1	1	A
C6ELD0_ECOBD	1	1	2	A
C6EHC2_ECOBD	0	1	1	A
C6EHB9_ECOBD	1	1	2	A
C6EHC1_ECOBD	1	1	2	A
C6EHC3_ECOBD	1	1	2	A
C6EFU4_ECOBD	1	1	2	F1
C6EE46_ECOBD	0	1	1	A
C6EAA5_ECOBD	1	1	2	F1
C6EF53_ECOBD	0	1	1	A
C6EF52_ECOBD	0	1	1	A
