Merge ID	Thein_bl21	OurStudy_Feb2011_Common	# Studies	TableS4_BL21_DE3_ProteomeV8_BasicProteome Duplicates
C6ECW9_ECOBD	1	0	1	F1
C6ECX0_ECOBD	0	0	0	F1
C6ECX1_ECOBD	0	0	0	B
C6ECX2_ECOBD	0	0	0	B
C6EFK6_ECOBD	0	0	0	B
C6EKY5_ECOBD	0	0	0	B
C6EAW1_ECOBD	1	0	1	F1
C6EJB9_ECOBD	0	0	0	B
C6EFB1_ECOBD	1	0	1	F1
C6EH49_ECOBD	1	0	1	B
C6EAX1_ECOBD	1	0	1	B
C6EI92_ECOBD	1	0	1	B
C6EAX2_ECOBD	0	0	0	B
C6EE76_ECOBD	1	0	1	B
C6EAW2_ECOBD	0	0	0	B
C6EAW6_ECOBD	0	0	0	B
C6EFB2_ECOBD	1	0	1	B
C6EFB0_ECOBD	1	0	1	F1
C6EAW0_ECOBD	1	0	1	F1
C6ECY5_ECOBD	0	0	0	B
C6EJW2_ECOBD	0	0	0	B
C6EEM5_ECOBD	0	0	0	B
C6EAR5_ECOBD	0	0	0	B
C6EIG8_ECOBD	1	0	1	B
C6EGN1_ECOBD	1	0	1	B
C6EH99_ECOBD	0	0	0	B
C6EAL9_ECOBD	1	0	1	B
C6EHM0_ECOBD	0	0	0	B
C6EHM1_ECOBD	0	0	0	I
C6EHM2_ECOBD	0	0	0	G
C6EHM3_ECOBD	0	0	0	G
C6EHM4_ECOBD	1	0	1	I
C6EFC7_ECOBD	0	0	0	G
C6EID6_ECOBD	0	0	0	B
C6EIX1_ECOBD	0	0	0	G
C6EL13_ECOBD	0	0	0	F1
C6EIX2_ECOBD	0	0	0	B
C6EIX3_ECOBD	1	0	1	F1
C6E9W0_ECOBD	1	0	1	F1
C6E9V9_ECOBD	0	0	0	F1
C6E9V8_ECOBD	1	0	1	F1
C6EFE8_ECOBD	1	0	1	F1
C6EEX1_ECOBD	0	0	0	B
C6EFF0_ECOBD	0	0	0	B
C6E9W2_ECOBD	0	0	0	G
C6E9W1_ECOBD	0	0	0	B
C6EK40_ECOBD	0	0	0	G
C6EK41_ECOBD	0	0	0	B
C6EK42_ECOBD	0	0	0	B
C6ED48_ECOBD	0	0	0	B
C6EDD6_ECOBD	0	0	0	B
C6EHA2_ECOBD	0	0	0	B
C6EBR2_ECOBD	0	0	0	B
C6EFF9_ECOBD	1	0	1	B
C6EFD9_ECOBD	0	0	0	B
C6EBH6_ECOBD	1	0	1	B
C6EG34_ECOBD	0	0	0	B
C6EIV3_ECOBD	0	0	0	F1
C6EIV2_ECOBD	0	0	0	G
C6EIV1_ECOBD	0	0	0	B
C6EIV0_ECOBD	0	0	0	B
C6EGE3_ECOBD	0	0	0	B
C6EGE2_ECOBD	0	0	0	B
C6EGE1_ECOBD	0	0	0	G
C6EGE0_ECOBD	0	0	0	F1
C6EGD9_ECOBD	0	0	0	B
C6EGD8_ECOBD	0	0	0	B
C6EGD7_ECOBD	0	0	0	G
C6EGD6_ECOBD	0	0	0	G
C6EGD5_ECOBD	0	0	0	G
C6EGD4_ECOBD	0	0	0	G
C6EGD3_ECOBD	0	0	0	B
C6EGD2_ECOBD	0	0	0	B
C6EAV2_ECOBD	0	0	0	B
C6EJ83_ECOBD	0	0	0	B
C6EEF2_ECOBD	0	0	0	G
C6EKH1_ECOBD	0	0	0	B
C6EKL5_ECOBD	0	0	0	F1
C6EEH5_ECOBD	0	0	0	G
C6EEH6_ECOBD	0	0	0	G
C6EEH4_ECOBD	0	0	0	B
C6EG12_ECOBD	1	0	1	B
C6EG13_ECOBD	1	0	1	B
C6EBX4_ECOBD	1	0	1	B
C6EGV9_ECOBD	0	0	0	F1
C6ECV6_ECOBD	1	0	1	F1
C6ELE4_ECOBD	0	0	0	G
C6ELE6_ECOBD	0	0	0	B
C6ELE7_ECOBD	0	0	0	F1
C6ELE5_ECOBD	0	0	0	B
C6EB98_ECOBD	0	0	0	G
C6EAV1_ECOBD	0	0	0	B
C6EFI5_ECOBD	0	0	0	H
C6EEC3_ECOBD	0	0	0	B
C6EKB6_ECOBD	0	0	0	B
C6EJK7_ECOBD	0	0	0	B
C6EEW5_ECOBD	0	0	0	I
C6EG48_ECOBD	0	0	0	B
C6EKZ1_ECOBD	1	0	1	F1
C6EC00_ECOBD	1	0	1	B
C6EHF9_ECOBD	0	0	0	B
C6EAE5_ECOBD	0	0	0	H
C6EHZ6_ECOBD	0	0	0	F2
C6EHZ7_ECOBD	0	0	0	B
C6EJE5_ECOBD	0	0	0	B
C6EJE6_ECOBD	0	0	0	B
C6EJE7_ECOBD	0	0	0	B
C6EKM9_ECOBD	0	0	0	B
C6EKM7_ECOBD	0	0	0	B
C6EKM6_ECOBD	0	0	0	B
C6EKM5_ECOBD	0	0	0	B
C6EKM4_ECOBD	0	0	0	B
C6EJB4_ECOBD	0	0	0	F2
C6EGV5_ECOBD	0	0	0	B
C6EC84_ECOBD	0	0	0	B
C6EC86_ECOBD	0	0	0	B
C6EFH7_ECOBD	1	0	1	B
C6EKK1_ECOBD	1	0	1	B
C6EFY2_ECOBD	0	0	0	B
C6EA68_ECOBD	0	0	0	G
C6EFY6_ECOBD	0	0	0	B
C6EDX8_ECOBD	1	0	1	B
C6EEY8_ECOBD	0	0	0	B
C6EJN9_ECOBD	1	0	1	B
C6EH29_ECOBD	0	0	0	F1
C6EH30_ECOBD	0	0	0	B
C6EDF8_ECOBD	1	0	1	B
C6EKZ9_ECOBD	1	0	1	B
C6EGB3_ECOBD	0	0	0	B
C6EB06_ECOBD	0	0	0	B
C6EB07_ECOBD	0	0	0	F1
C6EGB2_ECOBD	0	0	0	F1
C6EJZ9_ECOBD	0	0	0	B
C6EG56_ECOBD	1	0	1	B
C6ELN7_ECOBD	0	0	0	B
C6EDY6_ECOBD	1	0	1	H
C6EC26_ECOBD	0	0	0	F1
C6EGP9_ECOBD	0	0	0	B
C6EGQ0_ECOBD	0	0	0	B
C6EEE4_ECOBD	0	0	0	B
C6EK19_ECOBD	1	0	1	B
C6EGD1_ECOBD	0	0	0	B
C6EK18_ECOBD	1	0	1	F1
C6EAY3_ECOBD	0	0	0	B
C6EC32_ECOBD	0	0	0	B
C6EJ41_ECOBD	0	0	0	B
C6ECV0_ECOBD	0	0	0	B
C6EFC0_ECOBD	0	0	0	F1
C6EFB9_ECOBD	0	0	0	F1
C6EFB7_ECOBD	0	0	0	B
C6EFB4_ECOBD	0	0	0	G
C6EFB6_ECOBD	0	0	0	G
C6EFB8_ECOBD	0	0	0	B
C6EDI4_ECOBD	1	0	1	B
C6EDI6_ECOBD	0	0	0	B
C6EK38_ECOBD	1	0	1	B
C6EI91_ECOBD	0	0	0	G
C6EGQ7_ECOBD	1	0	1	I
C6EGX6_ECOBD	1	0	1	B
C6EGX5_ECOBD	1	0	1	F1
C6EGX4_ECOBD	0	0	0	B
C6EJ33_ECOBD	0	0	0	B
C6ECS8_ECOBD	1	0	1	I
C6EH27_ECOBD	0	0	0	G
C6EH26_ECOBD	1	0	1	F1
C6EH28_ECOBD	0	0	0	B
C6EAZ9_ECOBD	1	0	1	H
C6EK52_ECOBD	1	0	1	I
C6EC90_ECOBD	0	0	0	B
C6EC89_ECOBD	0	0	0	B
C6EAA3_ECOBD	0	0	0	F1
C6EKU2_ECOBD	0	0	0	F1
C6EI67_ECOBD	0	0	0	B
C6EI93_ECOBD	1	0	1	B
C6EB26_ECOBD	0	0	0	B
C6EEK7_ECOBD	0	0	0	G
C6EAF7_ECOBD	0	0	0	B
C6EIA3_ECOBD	1	0	1	F2
C6EIA2_ECOBD	0	0	0	B
C6ELJ0_ECOBD	0	0	0	B
C6EDY9_ECOBD	0	0	0	G
C6EDZ0_ECOBD	1	0	1	B
C6EDZ1_ECOBD	0	0	0	B
C6EDY7_ECOBD	1	0	1	F1
C6EDY5_ECOBD	0	0	0	G
C6EDM5_ECOBD	0	0	0	B
C6EDV5_ECOBD	0	0	0	G
C6EDW0_ECOBD	0	0	0	B
C6ELT7_ECOBD	0	0	0	G
C6ELT8_ECOBD	0	0	0	G
C6EHN5_ECOBD	0	0	0	F1
C6EHZ8_ECOBD	1	0	1	F2
C6EI10_ECOBD	0	0	0	B
C6EHZ5_ECOBD	0	0	0	F2
C6EIX6_ECOBD	0	0	0	G
C6EBL4_ECOBD	0	0	0	B
C6EBU1_ECOBD	0	0	0	B
C6EEU1_ECOBD	0	0	0	B
C6EBU2_ECOBD	0	0	0	B
C6EHW5_ECOBD	0	0	0	B
C6EIU1_ECOBD	0	0	0	B
