Merge ID	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	# Studies	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	P24182	
P0A705	1				1											2	1				1											P0A705	
P0A707	1				1								1			3	1				1								1			P0A707	
P0A9P0	1		1		1		1			1					1	6	1		1		1		1			1					1	P0A9P0	
P0A8N5	1				1											2	1				1											P0A8N5	
P69797	1	1	1	1	1		1			1				1	1	9	1	1	1	1	1		2			1				1	1	P69797	
P0AE18	1															1	1															P0AE18	
P33599	1	1	1		1		1			1				1	1	8	1	1	1		1		2			1				1	1	P33599	
P68767	1															1	1															P68767	
P0A921	1							1				1				3	1							1				1				P0A921	
P0A717	1				1											2	1				1											P0A717	
P0A7D7	1				1											2	1				1											P0A7D7	
P0AD61	1				1					1						3	1				1					1						P0AD61	
P67910	1			1	1										1	4	1			1	1										1	P67910	
P0A7L0	1			1									1			3	1			1									1			P0A7L0	
P60422	1															1	1															P60422	
P60438	1									1			1			3	1									1			1			P60438	
P60723	1						1						1			3	1						1						1			P60723	
P62399	1			1			1						1		1	5	1			1			1						1		1	P62399	
P0AG55	1												1			2	1												1			P0AG55	
P0A7R1	1	1		1			1				1		1			6	1	1		1			1				1		1			P0A7R1	
P0AA10	1												1			2	1												1			P0AA10	
P0AG67	1			1	1					1				1		5	1			1	1					1				1		P0AG67	
P0A7V0	1															1	1															P0A7V0	
P0A7V3	1						1									2	1						1									P0A7V3	
P0A7V8	1			1									1			3	1			1									1			P0A7V8	
P0A7W1	1												1			2	1												1			P0A7W1	
P0AC41	1		1				1			1				1	1	6	1		1				1			1				1	1	P0AC41	
P0A8L1	1				1											2	1				1											P0A8L1	
P0AGD3	1				1		1				1		1	1		6	1				1		1				1		1	1		P0AGD3	
P0AFG3	1	1			1		1	1							1	6	1	1			1		1	1							1	P0AFG3	
P0AFG6	1	1					1									3	1	1					1									P0AFG6	
P0AGF6	1															1	1															P0AGF6	
P0A8M3	1															1	1															P0A8M3	
P0A858	1			1	1											3	1			1	1											P0A858	
P0A6P1	1				1			1						1		4	1				1			1						1		P0A6P1	
P0CE47	1			1	1	1	1			1				1	1	8	1			1	1	1	1			1				1	1	P0CE47	
P0CE48	1			1	1	1				1					1	6	1			1	1	1				1					1	P0CE48	
P0A6N1	1			1	1	1				1					1	6	1			1	1	1				1					1	P0A6N1	
P0AGJ9	1				1											2	1				1											P0AGJ9	
P37902	1								1		1					3	1								1		1					P37902	
P0A9K1	1														1	2	1														1	P0A9K1	
P0A915	1			1								1		1		4	1			1								1		1		P0A915	
P0A9V1	1		1				1			1				1		5	1		1				2			1				1		P0A9V1	
P63177	1															1	1															P63177	
P67087	1															1	1															P67087	
P63386	1						1									2	1						1									P63386	
P0AC53	1				1											2	1				1											P0AC53	
P62556	1															1	1															P62556	
P62558	1															1	1															P62558	
P0A6K3	1												1			2	1												1			P0A6K3	
P0AG44		1											1			2		1											1				
P0A7J3		1											1			2		1											1				
P0ABB4		1	1	1	1		1	1		1				1	1	9		1	1	1	1		2	1		1				1	1		
P64604		1			1		1			1						4		1			1		1			1							
P0AG27		1														1		1															
P0ADW3		1	1							1			1			4		1	1							1			1				
P0C0S1		1	1		1		1			1						5		1	1		1		1			1							
P62517		1			1											2		1			1												
P0AD65		1														1		1															
P0AG90		1	1	1	1											4		1	1	1	1												
P0AG99		1														1		1															
P69786		1								1						2		1								1							
P09323		1														1		1															
P36672		1								1						2		1								1							
P00550		1					1			1					1	4		1					1			1					1		
P02919		1			1											2		1			1												
P02918		1														1		1															
P0ABJ9		1	1		1	1	1			1						6		1	1		1	1	1			1							
P29018		1														1		1															
P25714		1	1		1		1			1						5		1	1		1		1			1							
P0ABJ1		1	1				1			1					1	5		1	1				1			1					1		
P19934		1														1		1															
P43671		1					1									2		1					1										
P27434		1														1		1															
P37690		1														1		1															
P0A7A7		1			1					1				1		4		1			1					1				1			
P0AAG8		1														1		1															
P60785		1														1		1															
P02413		1				1							1			3		1				1							1				
P21170		1														1		1															
P21507		1														1		1															
P77748		1								1						2		1								1							
P75818		1		1								1	1	1		5		1		1								1	1	1			
P0ABA0			1		1		1			1			1			5			1		1		1			1			1				
P68699			1													1			1														
P69776			1		1							1			1	4			1		1							1			1		
P07117			1							1						2			1							1							
P0ABK2			1							1						2			1							1							
P14175			1				1								1	3			1				1								1		
P15877			1							1						2			1							1							
P0ADZ7			1							1			1		1	4			1							1			1		1		
P30845			1							1						2			1							1							
P31224			1		1		1			1						4			1		1		1			1							
P0CB39			1							1						2			1							1							
P32705			1							1						2			1							1							
P69831			1							1						2			1							1							
P37194			1	1	1	1						1		1		6			1	1	1	1						1		1			
P37636			1	1						1						3			1	1						1							
P37637			1		1		1			1						4			1		1		1			1							
P76372			1		1					1						3			1		1					1							
P0AC02			1	1			1			1		1		1		6			1	1			1			1		1		1			
P77173			1							1						2			1							1							
P0ADY1			1				1			1				1		4			1				1			1				1			
P0AAA1			1		1					1						3			1		1					1							
P0A908			1	1			1					1				4			1	1			1					1					
P77804			1	1	1					1				1		5			1	1	1					1				1			
P0A6F5				1	1		1			1					1	5				1	1		2			1					1		
P0A7X3				1									1			2				1									1				
Q46857				1						1						2				1						1							
P04949				1		1										2				1		1											
P0AGE0				1			1						1		1	4				1			1						1		1		
P69908				1	1											2				1	1												
P0ADE6				1						1			1			3				1						1			1				
P0A8E1				1			1						1			3				1			1						1				
P0A905				1			1					1	1		1	5				1			1					1	1		1		
P0ABU0				1												1				1													
P30847				1												1				1													
P76115				1				1				1				3				1				1				1					
P0A917				1				1	1	1	1	1	1		1	8				1				1	1	1	1	1	1		1		
P21420				1		1						1				3				1		1						1					
P76506				1		1	1					1				4				1		1	1					1					
P52697				1	1											2				1	1												
P0A9C3				1												1				1													
P46130				1								1				2				1								1					
P0A8E7				1									1			2				1									1				
P77774				1	1		1			1		1		1		6				1	1		1			1		1		1			
P15639				1	1											2				1	1												
P41066				1												1				1													
P33025				1												1				1													
P25906				1												1				1													
P46923				1												1				1													
P0A6Q6				1	1										1	3				1	1										1		
P0AG16					1											1					1												
P0ABH7					1		1								1	3					1		1								1		
P0ACF0					1								1			2					1								1				
P0AAC0					1											1					1												
P0AB67					1											1					1												
P0ACF8					1		1						1			3					1		1						1				
P0AG18					1											1					1												
P0AES4					1											1					1												
P0ABD3					1		1						1		1	4					1		1						1		1		
P0AEU7					1					1	1		1		1	5					1					1	1		1		1		
P0ADS6					1											1					1												
P0ACB2					1											1					1												
P0ACC7					1											1					1												
P0ABS1					1								1			2					1								1				
P0ABU7					1											1					1												
P0AG93					1											1					1												
P0ADB1					1	1						1	1			4					1	1						1	1				
P0AAJ3					1									1		2					1									1			
P0AG14					1											1					1												
P0AF12					1								1			2					1								1				
P0AEP3					1											1					1												
P0AET8					1											1					1												
P0AAI9					1											1					1												
P0AB89					1											1					1												
P0ABU5					1											1					1												
P0AED0					1								1			2					1								1				
P0AF03					1								1			2					1								1				
P0AEZ9					1					1			1		1	4					1					1			1		1		
P0ADA5					1							1	1			3					1							1	1				
P0A9Y6					1				1		1					3					1				1		1						
P0AEE1					1								1			2					1								1				
P0ADK0					1		1									2					1		1										
P0AF93					1					1	1		1			4					1					1	1		1				
P0AFP6					1											1					1												
P0AD12					1											1					1												
P0AES2					1											1					1												
P69801					1	1										2					1	1											
P26459					1											1					1												
P39396					1					1						2					1					1							
P60061					1											1					1												
P63235					1											1					1												
P60752					1					1						2					1					1							
P0A742					1											1					1												
P0A9M5					1								1			2					1								1				
P0A7B1					1										1	2					1										1		
P69805					1		1			1				1		4					1		1			1				1			
P08395					1					1						2					1					1							
Q59385					1	1										2					1	1											
P19319					1		1									2					1		1										
P0A7J0					1											1					1												
P69741					1											1					1												
P11557					1											1					1												
P42632					1											1					1												
P0A9J6					1					1						2					1					1							
P09372					1								1			2					1								1				
P0A6A8					1								1			2					1								1				
P18335					1											1					1												
P29745					1											1					1												
P0A9A9					1								1			2					1								1				
P06987					1											1					1												
P39377					1											1					1												
P0A9L8					1											1					1												
P15254					1											1					1												
P0A9K9					1					1			1			3					1					1			1				
P69824					1										1	2					1										1		
P0A7G6					1											1					1												
P25437					1											1					1												
P28629					1											1					1												
P00957					1											1					1												
P69503					1											1					1												
P0A6G7					1		1						1			3					1		1						1				
P69783					1						1		1			3					1						1		1				
P04036					1											1					1												
P0A988					1											1					1												
P0A953					1											1					1												
P0A991					1											1					1												
P0A998					1								1			2					1								1				
P69922					1											1					1												
P0A6F9					1		1			1			1		1	5					1		1			1			1		1		
P31658					1											1					1												
P23893					1											1					1												
P0A7B8					1		1			1			1			4					1		1			1			1				
P0A8N3					1											1					1												
P31057					1											1					1												
P31663					1											1					1												
P15034					1											1					1												
P0A6T1					1											1					1												
P0A7A9					1								1			2					1								1				
P07913					1											1					1												
P69910					1											1					1												
P0A9L3					1								1		1	3					1								1		1		
P76576					1		1			1			1			4					1		2			1			1				
P39265					1											1					1												
P64596					1								1			2					1								1				
P0A7F3					1											1					1												
P0A6W5					1								1			2					1								1				
P37689					1									1		2					1									1			
P60651					1											1					1												
P77247					1								1			2					1								1				
P25889					1											1					1												
P76440					1					1						2					1					1							
P08390					1											1					1												
P77395					1										1	2					1										1		
P0A8A2					1											1					1												
Q46856					1											1					1												
P69407					1								1		1	3					1								1		1		
