Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P76078	1			1				1																			3	1			1				1																			A		
P76079	1			1																							2	1			1																							A		
P76080	1					1																					2	1					1																					A		
P76081	1			1		1																					3	1			1		1																					A		
P77467	1			1			1	1																			4	1			1			1	1																			A		
P76084	1			1																							2	1			1																							A		
P0C7L2	1			1		1	1																				4	1			1		1	1																				A		
P76085	1							1																			2	1							1																			A		
P76086	1			1				1																			3	1			1				1																			A		
P77181	1		1					1																			3	1		1					1																			A		
P05719	1		1	1			1	1								1											6	1		1	1			1	1								1											A		
P71311	1																										1	1																										A		
P25906	1		1	1		1	1	1					1														7	1		1	1		1	1	1					1														A		
P39351	1			1																							2	1			1																							A		
P39358	1			1				1																			3	1			1				1																			A		
P39359	1		1					1																			3	1		1					1																			A		
P39360	1							1																			2	1							1																			A		
P39356	1	1		1		1	1	1																			6	1	1		1		1	1	1																			A		
P39389	1			1			1																				3	1			1			1																				A		
P39390	1							1																			2	1							1																			A		
P39399	1			1		1																					3	1			1		1																					A		
C1P600	1																										1	1																										A		
P19767	1			1				1																			3	1			1				1																			A		
P0CF29	1																										1	1																										A		
P0CF41	1																										1	1																										A		
P0CF42	1																										1	1																										A		
P0CF44	1																										1	1																										A		
