Merge ID	TableS3_K12_ProteomeV13	Gevaert2002	Taoka2004	Arifuzzaman2006	Ji2006	Iwasaki2009	Masuda2009	Iwasaki2010	Thein2010	Fountoulakis2003	Spelbrink2005	Stenberg2005	Huang2006	Lasserre2006	Cirulli2007	Wagner2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Vertommen2009	Muller2010	Pan2010	Wickstrom2010	Manddalo2011	TechnicalR_all_v7	# Studies	TableS3_K12_ProteomeV13 Duplicates	Gevaert2002 Duplicates	Taoka2004 Duplicates	Arifuzzaman2006 Duplicates	Ji2006 Duplicates	Iwasaki2009 Duplicates	Masuda2009 Duplicates	Iwasaki2010 Duplicates	Thein2010 Duplicates	Fountoulakis2003 Duplicates	Spelbrink2005 Duplicates	Stenberg2005 Duplicates	Huang2006 Duplicates	Lasserre2006 Duplicates	Cirulli2007 Duplicates	Wagner2007 Duplicates	Jarchow2008 Duplicates	Qian2008 Duplicates	Wagner2008 Duplicates	Xia2008 Duplicates	Vertommen2009 Duplicates	Muller2010 Duplicates	Pan2010 Duplicates	Wickstrom2010 Duplicates	Manddalo2011 Duplicates	TechnicalR_all_v7 Duplicates	Subcellular Location(this study)	
P75675	1																										1	1																										A		
P64562	1			1																							2	1			1																							A		
P46856	1			1																							2	1			1																							A		
P39309	1																										1	1																										A		
P39391	1			1																							2	1			1																							A		
P75978	1																										1	1																										A		
P76066	1			1																							2	1			1																							A		
P76205	1			1		1																					3	1			1		1																					A		
Q46786	1																										1	1																										A		
Q46791	1			1																							2	1			1																							A		
P0AD35	1			1																							2	1			1																							A		
P39220	1																										1	1																										A		
P39369	1			1																							2	1			1																							A		
P0CF86	1			1				1																			3	1			1				1																			A		
P56259	1																										1	1																										A		
P58095	1																										1	1																										A		
P75704	1																										1	1																										A		
Q47688	1			1																							2	1			1																							A		
Q7DFU6	1																										1	1																										A		
P77184	1																										1	1																										A		
P75697	1			1																							2	1			1																							A		
P75680	1			1																							2	1			1																							A		
P77759	1			1			1																				3	1			1			1																				A		
P24211	1			1																							2	1			1																							A		
P32109	1			1																							2	1			1																							A		
P77779	1			1																							2	1			1																							A		
P76323	1																										1	1																										A		
Q79E92	1			1																							2	1			1																							A		
P30192	1																										1	1																										A		
P39387	1			1																							2	1			1																							A		
P76168	1							1																			2	1							1																			A		
P24218	1			1		1																					3	1			1		1																					A		
P31665	1			1				1																			3	1			1				1																			A		
P77768	1			1		1																					3	1			1		1																					A		
P31667	1																										1	1																										A		
P37014	1			1		1																					3	1			2		1																					A		
P0CD93	1																										1	1																										A		
P68066	1	1	1			1	1	1						1						1		1					9	1	1	1			1	1	1						1						1		1					A		
P0ACF4	1		1			1	1	1														1					6	1		1			1	1	1														1					A		
P00350	1	1	1	1		1	1	1	1	1				1		1								1		1	13	1	1	1	1		1	1	1	1	1				1		1								1		1	A		
P00370	1		1	1		1	1	1																1			7	1		1	1		1	1	1																1			A		
P00448	1		1				1	1														1					5	1		1				1	1														1					A		
P00452	1	1	1	1	1	1	1	1	1																	1	10	1	1	1	1	1	1	1	1	1																	1	A		
P00490	1	1	1	1	1	1	1	1	1	1	1					1											12	1	1	1	1	1	1	1	1	1	1	1					1											A		
P00509	1	1	1	1	1	1	1	1	1	1				1												1	12	1	1	1	1	1	1	1	1	1	1				1												1	A		
P00547	1			1				1																			3	1			1				1																			A		
P00562	1			1		1	1	1	1																		6	1			1		1	1	1	1																		A		
P00579	1	1	1	1		1	1	1	1																	1	9	1	1	1	1		1	1	1	1																	1	A		
P00861	1							1																			2	1							1																			A		
P00864	1	1	1	1	1	1	1	1	1							1								1			11	1	1	1	1	1	1	1	1	1							1								1			A		
P00887	1		1			1	1	1	1																		6	1		1			1	1	1	1																		A		
P00888	1			1				1																			3	1			1				1																			A		
P00895	1			1				1																			3	1			1				1																			A		
P00903	1							1	1																		3	1							1	1																		A		
P00914	1			1				1																			3	1			1				1																			A		
P00934	1		1		1	1	1	1		1																	7	1		1		1	1	1	1		1																	A		
P00935	1				1			1																			3	1				1			1																			A		
P00944	1		1	1		1		1																			5	1		1	1		1		1																			A		
P00946	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P00954	1	1	1	1		1	1	1		1						1											9	1	1	1	1		1	1	1		1						1											A		
P00956	1	1	1	1		1	1	1	1																		8	1	1	1	1		1	1	1	1																		A		
P00959	1	1	1	1		1	1	1		1				1												1	10	1	1	1	1		1	1	1		1				1												1	A		
P00961	1	1	1	1	1	1	1	1	1	1				1													11	1	1	1	1	1	1	1	1	1	1				1													A		
P00962	1	1	1	1		1	1	1		1																	8	1	1	1	1		1	1	1		1																	A		
P00963	1	1	1	1	1	1	1	1	1	1			1														11	1	1	1	1	1	1	1	1	1	1			1														A		
P00968	1	1	1	1	1	1	1	1	1	1																1	11	1	1	1	1	1	1	1	1	1	1																1	A		
P02358	1	1	1	1		1	1	1	1										1			1		1		1	12	1	1	1	1		1	1	1	1										1			1		1		1	A		
P02359	1		1	1	1	1	1	1	1	1			1	1								1				1	13	1		1	1	1	1	1	1	1	1			1	1								1				1	A		
P02413	1	1	1	1	1	1	1	1	1		1				1							1				1	13	1	1	1	1	1	1	1	1	1		1				1							1				1	A		
P03007	1			1		1	1	1																			5	1			1		1	1	1																			A		
P03018	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P03024	1			1				1																			3	1			1				1																			A		
P03030	1			1																							2	1			1																							A		
P03813	1							1																			2	1							1																			A		
P03817	1		1				1	1														1					5	1		1				1	1														1					A		
P04036	1	1	1	1		1	1	1	1					1													9	1	1	1	1		1	1	1	1					1													A		
P04079	1	1	1	1		1	1	1	1	1				1												1	11	1	1	1	1		1	1	1	1	1				1												1	A		
P04152	1			1																							2	1			1																							A		
P04335	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P04425	1	1	1	1		1	1	1		1				1													9	1	1	1	1		1	1	1		1				1													A		
P04693	1	1	1	1	1	1	1	1		1																	9	1	1	1	1	1	1	1	1		1																	A		
P04805	1	1	1	1	1	1	1	1	1	1																	10	1	1	1	1	1	1	1	1	1	1																	A		
P04951	1		1	1			1	1																			5	1		1	1			1	1																			A		
P04993	1			1			1	1																			4	1			1			1	1																			A		
P04995	1	1	1			1		1																			5	1	1	1			1		1																			A		
P05020	1	1	1				1	1																			5	1	1	1				1	1																			A		
P05042	1	1	1	1		1	1	1	1										1								9	1	1	1	1		1	1	1	1										1								A		
P05055	1	1	1	1	1	1	1	1	1	1		1		1		1			1						1	1	16	1	1	1	1	1	1	1	1	1	1		1		1		2			1						1	1	A		
P05194	1		1	1				1																			4	1		1	1				1																			A		
P05459	1	1	1	1			1	1		1																	7	1	1	1	1			1	1		1																	A		
P05523	1		1	1	1			1																			5	1		1	1	1			1																			A		
P05637	1		1			1	1	1																			5	1		1			1	1	1																			A		
P05793	1	1		1	1	1	1	1		1																	8	1	1		1	1	1	1	1		1																	A		
P05804	1			1				1																			3	1			1				1																			A		
P05827	1							1																			2	1							1																			A		
P05847	1			1																							2	1			1																							A		
P05852	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P06610	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P06612	1	1	1	1		1	1	1	1																		8	1	1	1	1		1	1	1	1																		A		
P06710	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P06715	1	1	1	1		1	1	1		1				1													9	1	1	1	1		1	1	1		1				1													A		
P06720	1	1	1	1		1		1		1									1								8	1	1	1	1		1		1		1									1								A		
P06721	1			1				1																			3	1			1				1																			A		
P06722	1			1																							2	1			1																							A		
P06846	1			1				1																			3	1			1				1																			A		
P06864	1																										1	1																										A		
P06961	1		1	1			1	1																			5	1		1	1			1	1																			A		
P06968	1		1				1	1						1								1					6	1		1				1	1						1								1					A		
P06983	1		1	1			1	1	1																		6	1		1	1			1	1	1																		A		
P06986	1		1				1	1																			4	1		1				1	1																			A		
P06987	1		1		1		1	1	1					1													7	1		1		1		1	1	1					1													A		
P06988	1		1	1		1	1	1											1								7	1		1	1		1	1	1											1								A		
P06992	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P06999	1	1	1	1		1	1	1		1									1								9	1	1	1	1		1	1	1		1									1								A		
P07004	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P07023	1			1		1		1																			4	1			1		1		1																			A		
P07118	1	1	1	1		1	1	1	1																		8	1	1	1	1		1	1	1	1																		A		
P07604	1	1	1	1			1	1																			6	1	1	1	1			1	1																			A		
P07623	1								1																		2	1								1																		A		
P07639	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P07648	1	1		1		1		1																			5	1	1		1		1		1																			A		
P07649	1			1				1																			3	1			1				1																			A		
P07762	1	1		1		1	1	1																1			7	1	1		1		1	1	1																1			A		
P07813	1	1	1	1		1	1	1	1																		8	1	1	1	1		1	1	1	1																		A		
P07862	1		1	1		1	1	1																			6	1		1	2		1	1	1																			A		
P07913	1	1	1	1		1	1	1	1					1													9	1	1	1	1		1	1	1	1					1													A		
P08142	1		1	1			1	1																			5	1		1	1			1	1																			A		
P08178	1					1	1	1																			4	1					1	1	1																			A		
P08179	1		1	1				1																			4	1		1	1				1																			A		
P08192	1		1			1	1	1																			5	1		1			1	1	1																			A		
P08201	1					1	1	1																			4	1					1	1	1																			A		
P08244	1			1		1	1	1																			5	1			1		1	1	1																			A		
P08312	1	1	1	1	1	1	1	1		1				1		1			1					1			13	1	1	1	1	1	1	1	1		1				1		1			1					1			A		
P08337	1			1				1																			3	1			1				1																			A		
P08368	1			1				1																			3	1			1				1																			A		
P08373	1		1	1			1	1																			5	1		1	1			1	1																			A		
P08394	1			1		1	1	1																			5	1			1		1	1	1																			A		
P08997	1	1	1	1		1	1	1												1				1			9	1	1	1	1		1	1	1												1				1			A		
P09029	1					1		1																			3	1					1		1																			A		
P09030	1	1	1	1		1	1	1																			7	1	1	1	1		1	1	1																			A		
P09053	1	1	1			1	1	1																			6	1	1	1			1	1	1																			A		
P09126	1		1	1		1	1	1																			6	1		1	1		1	1	1																			A		
P09155	1						1	1								1											4	1						1	1								1											A		
P09158	1		1			1	1	1	1					1													7	1		1			1	1	1	1					1													A		
P09163	1																										1	1																										A		
P09377	1			1																							2	1			1																							A		
P09424	1	1	1	1		1	1	1																1			8	1	1	1	1		1	1	1																1			A		
P09832	1	1	1	1				1		1																	6	1	1	1	1				1		1																	A		
P09980	1			1		1	1	1	1																		6	1			1		1	1	1	1																		A		
P09996	1						1	1														1					4	1						1	1														1					A		
P0A6A3	1	1	1			1	1	1	1	1			1	1					1							1	12	1	1	1			1	1	1	1	1			1	1					1							1	A		
P0A6B4	1	1		1			1	1																			5	1	1		1			1	1																			A		
P0A6B7	1	1	1	1	1	1	1	1	1										1							1	11	1	1	1	1	1	1	1	1	1										1							1	A		
P0A6C5	1								1																		2	1								1																		A		
P0A6C8	1		1			1		1																		1	5	1		1			1		1																		1	A		
P0A6D0	1				1		1	1																			4	1				1		1	1																			A		
P0A6D5	1																										1	1																										A		
P0A6D7	1	1	1	1			1	1														1					7	1	1	1	1			1	1														1					A		
P0A6E1	1							1																			2	1							1																			A		
P0A6E4	1	1	1	1		1	1	1	1	1																1	10	1	1	1	1		1	1	1	1	1																1	A		
P0A6F1	1		1	1		1	1	1	1					1													8	1		1	2		1	1	1	1					1													A		
P0A6F3	1	1	1	1	1	1	1	1	1	1				1		1	1										13	1	1	1	1	1	1	1	1	1	1				1		1	1										A		
P0A6F5	1	1	1	1		1	1	1	1				1	1		1			1					1		1	14	1	1	1	1		1	1	1	1				1	1		2			1					1		1	A		
