A	RNR_ECOLI	9.62E-01	2.83E+02	1.09	51.34	0.036361	3636.1
A	KPYK2_ECOLI	4.34E+00	6.79E+02	13.07	404.41	0.050419	5041.9
A	LPXD_ECOLI	2.16E+00	4.53E+02	1	33.42	0.041892	4189.2
A	SYC_ECOLI	3.28E+00	5.77E+02	7	289.95	0.032122	3212.2
F1	SYD_ECOLI	9.75E+00	1.09E+03	9	398	0.071289	7128.9
A	MUKB_ECOLI	1.22E+00	3.26E+02	0.82	38.96	0.015536	1553.6
A	TRMA_ECOLI	3.11E-01	1.47E+02	1.23	57.72	0.010361	1036.1
A	SERC_ECOLI	1.71E+02	5.74E+03	3.81	172.75	0.078687	7868.7
F1	PSS_ECOLI	4.25E-01	1.76E+02	2.16	99.64	0.036911	3691.1
G	DPPA_ECOLI	3.16E+00	5.65E+02	0.58	27.85	0.00011962	11.962
A	FMT_ECOLI	9.00E+00	1.04E+03	3.64	165.27	0.010791	1079.1
B	HTPX_ECOLI	9.31E-01	2.78E+02	2.51	115.26	0.0095725	957.25
A	DCP_ECOLI	3.06E+00	5.54E+02	2.05	94.72	0.013442	1344.2
B	MSBB_ECOLI	4.68E-01	1.86E+02	0.33	16.12	0.009926	992.6
A	FRMA_ECOLI	2.16E+00	4.53E+02	1.58	73.59	0.012477	1247.7
A	MNMA_ECOLI	1.85E+00	4.14E+02	1.78	83	0.024564	2456.4
A	TKT1_ECOLI	1.40E+02	5.11E+03	20	656.74	0.12073	12073
A	DCD_ECOLI	7.78E-01	2.50E+02	1.78	83	0.039415	3941.5
A	DCUP_ECOLI	7.01E-01	2.36E+02	0.47	22.71	0.016422	1642.2
A	PEPT_ECOLI	5.01E-01	1.94E+02	0.58	27.85	0.0063726	637.26
A	YBIC_ECOLI	4.68E-01	1.86E+02	0.39	18.96	0.023575	2357.5
A	MFD_ECOLI	5.36E-01	2.02E+02	0.58	27.85	0.0043062	430.62
A	GLMM_ECOLI	9.00E+00	1.04E+03	9	398	0.063008	6300.8
A	HCHA_ECOLI	9.95E-01	2.89E+02	1	47.23	0.012905	1290.5
A	PANC_ECOLI	6.20E+00	8.35E+02	3.47	157.78	0.021756	2175.6
F1	NUOF_ECOLI	3.64E+00	6.13E+02	4.38	197.75	0.0038072	380.72
A	TYPA_ECOLI	5.36E+01	2.92E+03	12	504.13	0.036707	3670.7
A	YJAG_ECOLI	8.74E-01	2.68E+02	3.33	152	0.01495	1495
A	GCSP_ECOLI	3.85E+00	6.33E+02	4.96	223.08	0.03748	3748
F1	NUOCD_ECOLI	2.92E+00	5.40E+02	13.53	590.19	0.012685	1268.5
F1	NUOG_ECOLI	4.04E+00	6.52E+02	8.57	379.07	0.015867	1586.7
A	RLUD_ECOLI	4.25E-01	1.76E+02	0.93	44.02	0.0085287	852.87
