Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome_3900 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P46136	0	1	1	1	0	0	0	3	B	YDDG_ECOLI			2	2				
P46139	0	1	1	1	0	0	0	3	B	YFIN_ECOLI			2	2	2			
P46141	0	1	1	1	0	0	0	3	B	YGBE_ECOLI			2	2	2			
P46142	0	1	1	1	0	0	0	3	G	YGGM_ECOLI			2	2	2			
P46478	0	1	1	1	0	0	0	3	B	AAEX_ECOLI			2	2	2			
P50466	0	1	1	1	0	0	0	3	B	AER_ECOLI			2	2	2			
P52005	0	1	1	1	0	0	0	3	B	TORY_ECOLI			0	0	0			
P52107	0	1	1	1	0	0	0	3	G	CSGC_ECOLI			0	0	0			
P52599	0	1	1	1	0	0	0	3	G	EMRK_ECOLI			0	0				
P52636	0	1	1	1	0	0	0	3	B	YCCM_ECOLI			0	0	2			
P60061	0	1	1	1	0	0	0	3	B	ADIC_ECOLI			2	2	2			
P60778	0	1	1	1	0	0	0	3	B	TSGA_ECOLI			2	0	2			
P62395	0	1	1	1	0	0	0	3	G	SECM_ECOLI			2	2	2			
P64426	1	1	1	1	0	0	0	4	I	YDDW_ECOLI	0.77	2	2	2	2			
P64439	0	1	1	1	0	0	0	3	B	YBJM_ECOLI			2	2				
P64445	0	1	1	1	0	0	0	3	B	YNAJ_ECOLI			0	0	2			
P64548	0	1	1	1	0	0	0	3	G	YFIR_ECOLI			2	2	2			
P64550	0	1	1	1	0	0	0	3	B	YGAW_ECOLI			2	2	2			
P65298	0	1	1	1	0	0	0	3	I	YQHH_ECOLI			0	0	0			
P67153	0	1	1	1	0	0	0	3	B	YQFA_ECOLI			2	2	2			
P67444	0	1	1	1	0	0	0	3	B	XANQ_ECOLI			0	0	0			
P67601	0	1	1	1	0	0	0	3	B	YOBD_ECOLI			2	0	2			
P68183	0	1	1	1	0	0	0	3	B	MALG_ECOLI			2	2	2			
P68187	1	1	1	1	0	1	0	5	F1	MALK_ECOLI	3.41	2	2	2	2		3.188691122	
P68644	0	1	1	1	0	1	0	4	F1	FIXC_ECOLI			1	0	0			
P69739	0	1	1	1	0	0	0	3	B	MBHS_ECOLI			0	0	0			
P69791	0	1	1	1	1	0	0	4	F1	PTQA_ECOLI			2	2	2	0		
P69902	0	1	1	1	0	0	0	3	B	FCTA_ECOLI			2	0	0			
P71241	0	1	1	1	0	0	0	3	B	WCAJ_ECOLI			0	0				
P71244	0	1	1	1	0	0	0	3	G	WCAM_ECOLI			0	0	0			
P75733	0	1	1	1	0	0	0	3	H	YBFM_ECOLI			0	0				
