Accession	Entry name	Gene Name	ABS_CALL	ABS_CALL	Info
P37057	OGRK_ECOLI	ogrK	0	A	Not Expressed at LB
P0ADA7	OSMB_ECOLI	osmB	0	A	Not Expressed at LB
P0C0L2	OSMC_ECOLI	osmC	0	A	Not Expressed at LB
P0ADB1	OSME_ECOLI	osmE	0	A	Not Expressed at LB
P00903	PABA_ECOLI	pabA	0	A	Not Expressed at LB
P16256	PANF_ECOLI	panF	0	A	Not Expressed at LB
P06999	K6PF2_ECOLI	pfkB	0	A	Not Expressed at LB
P0A924	PGPB_ECOLI	pgpB	0	A	Not Expressed at LB
P0AD74	LPF2_ECOLI	pheM	0	A	Not Expressed at LB
P16681	PHNB_ECOLI	phnB	0	A	Not Expressed at LB
P16677	PHNC_ECOLI	phnC	0	A	Not Expressed at LB
P16682	PHND_ECOLI	phnD	0	A	Not Expressed at LB
P16684	PHNF_ECOLI	phnF	0	A	Not Expressed at LB
P16685	PHNG_ECOLI	phnG	0	A	Not Expressed at LB
P16686	PHNH_ECOLI	phnH	0	A	Not Expressed at LB
P16688	PHNJ_ECOLI	phnJ	0	A	Not Expressed at LB
P16678	PHNK_ECOLI	phnK	0	A	Not Expressed at LB
P16679	PHNL_ECOLI	phnL	0	A	Not Expressed at LB
P16691	PHNO_ECOLI	phnO	0	A	Not Expressed at LB
P0AFJ5	PHOB_ECOLI	phoB	0	A	Not Expressed at LB
P0A9K1	PHOH_ECOLI	phoH	0	A	Not Expressed at LB
P52086	COBC_ECOLI	phpB	0	A	Not Expressed at LB
P00914	PHR_ECOLI	phrB	0	A	Not Expressed at LB
P03825	PIOO_ECOLI	pinO	0	A	Not Expressed at LB
P43676	PITB_ECOLI	pitB	0	A	Not Expressed at LB
P0AFK2	PNUC_ECOLI	pnuC	0	A	Not Expressed at LB
P31133	POTF_ECOLI	potF	0	A	Not Expressed at LB
P31134	POTG_ECOLI	potG	0	A	Not Expressed at LB
P33554	PPDA_ECOLI	ppdA	0	A	Not Expressed at LB
P08371	PPDB_ECOLI	ppdB	0	A	Not Expressed at LB
P08372	PPDC_ECOLI	ppdC	0	A	Not Expressed at LB
P36647	PPDD_ECOLI	ppdD	0	A	Not Expressed at LB
P0A9L5	PPIC_ECOLI	ppiC	0	A	Not Expressed at LB
P28369	RFH_ECOLI	prfH	0	A	Not Expressed at LB
P23862	PRIC_ECOLI	priC	0	A	Not Expressed at LB
P0AEX5	KPPR_ECOLI	prkB	0	A	Not Expressed at LB
P0A8T1	PRMA_ECOLI	prmA	0	A	Not Expressed at LB
P0A7B5	PROB_ECOLI	proB	0	A	Not Expressed at LB
P14175	PROV_ECOLI	proV	0	A	Not Expressed at LB
P14176	PROW_ECOLI	proW	0	A	Not Expressed at LB
P0A717	KPRS_ECOLI	prsA	0	A	Not Expressed at LB
P36678	GSPM_ECOLI	pshM	0	A	Not Expressed at LB
P0AFM4	PSIF_ECOLI	psiF	0	A	Not Expressed at LB
P0AFM9	PSPB_ECOLI	pspB	0	A	Not Expressed at LB
P0AFN2	PSPC_ECOLI	pspC	0	A	Not Expressed at LB
P0A8R9	HDFR_ECOLI	pssR	0	A	Not Expressed at LB
P07654	PSTA_ECOLI	pstA	0	A	Not Expressed at LB
P0A7D1	PTH_ECOLI	pth	0	A	Not Expressed at LB
P24555	PTRB_ECOLI	ptrB	0	A	Not Expressed at LB
P0A9N0	PTSO_ECOLI	ptsO	0	A	Not Expressed at LB
P0AG18	PUR6_ECOLI	purE	0	A	Not Expressed at LB
P0A7F3	PYRI_ECOLI	pyrI	0	A	Not Expressed at LB
P0AD83	LPPY_ECOLI	pyrL	0	A	Not Expressed at LB
P15033	RACC_ECOLI	racC	0	A	Not Expressed at LB
P27844	RARD_ECOLI	rarD	0	A	Not Expressed at LB
P69405	RCSA_ECOLI	rcsA	0	A	Not Expressed at LB
P04993	EX5A_ECOLI	recD	0	A	Not Expressed at LB
P33228	RECT_ECOLI	recT	0	A	Not Expressed at LB
P0C079	RELB_ECOLI	relB	0	A	Not Expressed at LB
P0C077	RELE_ECOLI	relE	0	A	Not Expressed at LB
P0ACG6	HOKD_ECOLI	relF	0	A	Not Expressed at LB
P07010	REM_ECOLI	rem	0	A	Not Expressed at LB
P0AFW0	RFAH_ECOLI	rfaH	0	A	Not Expressed at LB
P27242	WAAU_ECOLI	rfaK	0	A	Not Expressed at LB
P27240	RFAY_ECOLI	rfaY	0	A	Not Expressed at LB
P27241	RFAZ_ECOLI	rfaZ	0	A	Not Expressed at LB
P32169	RHAD_ECOLI	rhaD	0	A	Not Expressed at LB
P09378	RHAR_ECOLI	rhaR	0	A	Not Expressed at LB
P09377	RHAS_ECOLI	rhaS	0	A	Not Expressed at LB
P32169	RHAD_ECOLI	rhaD	0	A	Not Expressed at LB
P13857	RIML_ECOLI	rimL	0	A	Not Expressed at LB
P0AFW2	RMF_ECOLI	rmf	0	A	Not Expressed at LB
P21338	RNI_ECOLI	rna	0	A	Not Expressed at LB
P30850	RNB_ECOLI	rnb	0	A	Not Expressed at LB
P10442	RNH2_ECOLI	rnhB	0	A	Not Expressed at LB
P0AFW4	RNK_ECOLI	rnk	0	A	Not Expressed at LB
P37351	RPIB_ECOLI	rpiB	0	A	Not Expressed at LB
P0ACS7	RPIR_ECOLI	rpiR	0	A	Not Expressed at LB
P0A7P5	RL34_ECOLI	rpmH	0	A	Not Expressed at LB
P0A7Q6	RL36_ECOLI	rpmJ	0	A	Not Expressed at LB
P68191	SRA_ECOLI	rpsV	0	A	Not Expressed at LB
P38104	RSPA_ECOLI	rspA	0	A	Not Expressed at LB
P38105	RSPB_ECOLI	rspB	0	A	Not Expressed at LB
P0AFY2	SANA_ECOLI	sanA	0	A	Not Expressed at LB
P0AGH3	SAPB_ECOLI	sapB	0	A	Not Expressed at LB
P0AGH5	SAPC_ECOLI	sapC	0	A	Not Expressed at LB
P07026	SDIA_ECOLI	sdiA	0	A	Not Expressed at LB
P0AAA5	SFA_ECOLI	sfa	0	A	Not Expressed at LB
P38392	SIEB_ECOLI	sieB	0	A	Not Expressed at LB
P37194	SLP_ECOLI	slp	0	A	Not Expressed at LB
P30852	SMF_ECOLI	smf	0	A	Not Expressed at LB
P0A828	SMG_ECOLI	smg	0	A	Not Expressed at LB
P0A937	SMPA_ECOLI	smpA	0	A	Not Expressed at LB
P24554	RADA_ECOLI	sms	0	A	Not Expressed at LB
P0AGD1	SODC_ECOLI	sodC	0	A	Not Expressed at LB
P15373	SOHA_ECOLI	sohA	0	A	Not Expressed at LB
P0ACS2	SOXR_ECOLI	soxR	0	A	Not Expressed at LB
P0A9E2	SOXS_ECOLI	soxS	0	A	Not Expressed at LB
P60651	SPEB_ECOLI	speB	0	A	Not Expressed at LB
P21169	DCOR_ECOLI	speC	0	A	Not Expressed at LB
P39902	SPRT_ECOLI	sprT	0	A	Not Expressed at LB
