Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P76224	0	1	1	1	0	0	0	3	B	YNJC_ECOLI			0	0	0			
P76230	0	1	1	1	0	0	0	3	B	YDJK_ECOLI			0	0	0			
P76296	0	1	1	1	0	0	0	3	G	YECT_ECOLI			0	0	0			
P76347	0	1	1	1	1	0	0	4	H	YEEJ_ECOLI			0	0	0	0		
P76352	0	1	1	1	0	0	0	3	B	YEEO_ECOLI			0	0	0			
P76460	0	1	1	1	0	0	0	3	B	ATOE_ECOLI			0	0	0			
P76470	0	1	1	1	0	0	0	3	B	RHMT_ECOLI			0	0	0			
P76499	0	1	1	1	0	0	0	3	G	YFCP_ECOLI			0	0	0			
P76501	0	1	1	1	0	0	0	3	G	YFCR_ECOLI			1	0				
P76573	0	1	1	1	0	0	0	3	G	YFGI_ECOLI			0	0	0			
P76773	0	1	1	1	0	0	0	3	H	OMPL_ECOLI			0	0	0			
P77031	0	1	1	1	0	0	0	3	B	YQCE_ECOLI			0	0	0			
P77156	0	1	1	1	0	0	0	3	B	YDCU_ECOLI			0	0	0			
P77165	0	1	1	1	0	0	0	3	G	YAGT_ECOLI			0	0	0			
P77172	0	1	1	1	0	0	0	3	B	YFGF_ECOLI			0	0	0			
P77180	0	1	1	1	0	0	0	3	B	YKGH_ECOLI			0	0	0			
P77188	0	1	1	1	0	0	0	3	G	MATC_ECOLI			0	0	0			
P77196	0	1	1	1	0	0	0	3	G	YFCU_ECOLI			0	0	0			
P77211	0	1	1	1	0	0	0	3	I	CUSC_ECOLI			0	0	0			
P77219	0	1	1	1	0	0	0	3	B	YAHC_ECOLI			0	0	0			
P77249	0	1	1	1	0	0	0	3	G	SFMC_ECOLI			0	0	0			
P77256	0	1	1	1	0	0	0	3	G	YDJG_ECOLI			0	0	0			
P77268	0	1	1	1	0	0	0	3	F1	DDPD_ECOLI			0	0	0			
P77294	0	1	1	1	0	0	0	3	G	YDER_ECOLI			0	0	0			
P77308	0	1	1	1	0	0	0	3	B	DDPB_ECOLI			0	0	0			
P77324	0	1	1	1	0	0	0	3	G	YAGS_ECOLI			0	0	0			
P77329	0	1	1	1	0	0	0	3	B	HYFG_ECOLI			0	0	0			
P77339	0	1	1	1	0	0	0	3	I	YAFT_ECOLI			0	0	0			
P77409	0	1	1	1	0	0	0	3	B	PHSC_ECOLI			0	0	0			
P77416	0	1	1	1	0	0	0	3	B	HYFD_ECOLI			0	0	0			
P77437	0	1	1	1	0	0	0	3	B	HYFF_ECOLI			0	0	0			
P77463	0	1	1	1	0	0	0	3	B	DDPC_ECOLI			0	0	0			
P77468	0	1	1	1	0	0	0	3	H	SFMD_ECOLI			0	0	0			
P77489	0	1	1	1	0	0	0	3	G	YAGR_ECOLI			0	0	0			
P77519	0	1	1	1	0	0	0	3	G	YDDL_ECOLI			0	0	0			
P77554	0	1	1	1	0	0	0	3	G	YAHJ_ECOLI			0	0	0			
P77588	0	1	1	1	0	0	0	3	G	YDEQ_ECOLI			0	0	0			
P77589	0	1	1	1	0	0	0	3	B	MHPT_ECOLI			0	0	0			
P77610	0	1	1	1	0	0	0	3	B	ANSP_ECOLI			0	0	0			
P77716	0	1	1	1	0	0	0	3	B	YCJP_ECOLI			0	0	0			
P77733	0	1	1	1	0	0	0	3	B	FOCB_ECOLI			0	0	0			
P77747	0	1	1	1	0	0	0	3	H	OMPN_ECOLI			0	0	0			
P77789	0	1	1	1	0	0	0	3	F4	YDES_ECOLI			0	0	0			
P77802	0	1	1	1	1	0	0	4	G	YAGX_ECOLI			0	0	0	0		
Q46834	0	1	1	1	0	0	0	3	G	YGHF_ECOLI			0	0	0			
Q46836	0	1	1	1	0	0	0	3	B	PPPA_ECOLI			0	0	0			
Q46841	0	1	1	1	0	0	0	3	B	YGHQ_ECOLI			0	0	0			
Q46843	0	1	1	1	0	0	0	3	B	YGHS_ECOLI			0	0	0			
Q46844	0	1	1	1	0	0	0	3	B	YGHT_ECOLI			0	0	0			
Q46867	0	1	1	1	0	0	0	3	B	YGIZ_ECOLI			0	0				
Q46892	0	1	1	1	0	0	0	3	B	YGBN_ECOLI			0	0	0			
Q47537	0	1	1	1	0	0	0	3	G	TAUA_ECOLI			0	0	0			
