Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_BasicProteome Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P0AD17	0	1	1	1	0	0	0	3	B	YOHC_ECOLI			0	1	0			
P0AD19	0	1	1	1	0	0	0	3	B	YOHK_ECOLI			2	0	0			
P0AD27	0	1	1	1	0	0	1	4	B	YEJM_ECOLI			2	2	2			B
P0AD30	0	0	1	1	0	0	1	3	B	YFCA_ECOLI				1				B
P0AD59	0	1	1	1	0	0	0	3	G	IVY_ECOLI			2	2	2			
P0AD65	0	1	1	1	0	0	1	4	B	PBP2_ECOLI			2	2	2			B
P0AD68	1	1	1	1	0	0	1	5	B	FTSI_ECOLI	5.46	2	2	2	2			B
P0AD96	0	1	1	1	0	1	1	5	G	LIVJ_ECOLI			2	0	0		4.91322568	G
P0AD99	0	1	1	1	0	0	1	4	B	BRNQ_ECOLI			2	2	2			B
P0ADA5	1	1	1	1	0	1	1	6	I	YAJG_ECOLI		2	2	2	2		5.668191026	I
P0ADB1	1	1	1	1	1	0	1	6	I	OSME_ECOLI	3.11	2	2	2	2	0		I
P0ADC6	1	1	1	1	0	0	1	5	B	LPTG_ECOLI	0	2	2	1	2			B
P0ADD2	0	1	1	1	0	0	0	3	B	YJJB_ECOLI			2	2	2			
P0ADD5	0	1	1	1	0	0	0	3	B	YJJP_ECOLI			2	2	2			
P0ADE4	0	1	1	1	0	0	1	4	H	YTFM_ECOLI			2	2	2			H
P0ADI4	0	1	1	1	0	0	0	3	F1	ENTB_ECOLI			1	1	2			
P0ADK0	1	1	1	1	0	1	1	6	E	YIAF_ECOLI		2	2	2	2		7.751405159	E
P0ADL1	0	1	1	1	0	0	1	4	B	NEPI_ECOLI			0	0	0			B
P0ADL3	0	1	1	1	0	0	1	4	B	YICN_ECOLI			2	0	0			B
P0ADM4	0	1	1	1	0	0	1	4	E	YIDQ_ECOLI			2	2	2			E
P0ADM8	0	1	1	1	0	0	1	4	B	YIEE_ECOLI			2	2	2			B
P0ADP2	1	1	1	1	0	0	1	5	B	YIGI_ECOLI		2	1	0	0			B
P0ADR0	0	1	1	1	0	0	0	3	B	YQAA_ECOLI			2	2	2			
P0ADR2	0	1	1	1	0	0	0	3	B	YGDD_ECOLI			2	2				
P0ADS6	1	1	1	1	0	1	1	6	G	YGGE_ECOLI	0.98	2	2	2	2		2.931300406	G
P0ADS9	0	1	1	1	0	0	1	4	G	YGGN_ECOLI			2	2	2			G
P0ADU5	1	1	1	1	0	0	0	4	G	YGIW_ECOLI	2.38	2	2	2	2			
P0ADV1	1	1	1	1	0	0	1	5	G	LPTA_ECOLI	1.28	2	2	2	2			G
P0ADV7	1	1	1	1	0	1	1	6	G	MLAC_ECOLI	0.49	2	2	2	2		1.754402379	G
P0ADV9	0	1	1	1	0	0	1	4	B	LPTC_ECOLI			2	2	2			B
P0ADY1	1	1	1	1	0	0	1	5	B	PPID_ECOLI	1.01	2	2	2	2			B
P0ADZ7	1	1	1	1	0	1	1	6	B	YAJC_ECOLI	1.51	2	2	2	2		10.54951373	B
P0AE14	0	1	1	1	0	0	1	4	B	AMPE_ECOLI			2	2	2			B
P0AE28	0	1	1	1	0	0	1	4	B	AROM_ECOLI			2	2	2			B
P0AE34	0	1	1	1	1	0	1	5	B	ARTQ_ECOLI			2	2	2	0		B
P0AE45	1	1	1	1	0	1	1	6	B	YTFL_ECOLI	0	2	2	2			1.208045609	B
P0AE74	0	1	1	1	0	0	0	3	B	CITT_ECOLI			0	0				
P0AE82	0	1	1	1	0	0	1	4	B	CPXA_ECOLI			2	0	0			B
P0AE91	1	1	1	1	0	0	1	5	G	CREA_ECOLI	0.48	2	2	2	2			G
P0AE95	0	1	1	1	0	0	0	3	G	CSGE_ECOLI			0	0	0			
P0AEA2	0	1	1	1	1	1	0	5	I	CSGG_ECOLI			0	0	0	0	1.555210437	
P0AEA5	0	1	1	1	0	1	0	4	B	CYOE_ECOLI			2	2	2		8.189593179	
P0AEB2	1	1	1	1	0	1	1	6	F2	DACA_ECOLI	1.19	2	2	2	2		3.460926782	F2
P0AEC0	0	1	1	1	0	0	1	4	B	YOAE_ECOLI			0	2	0			B
P0AEC3	1	1	1	1	1	1	1	7	B	ARCB_ECOLI	1.13	2	2	2	2	0	1.440061606	B
P0AED0	1	1	1	1	0	0	1	5	F1	USPA_ECOLI	2.56	2	2	2	2			F1
P0AEE1	1	1	1	1	0	1	1	6	E	DCRB_ECOLI	2.83	2	2	2	2		3.685570549	E
P0AEF8	0	1	1	1	1	0	1	5	B	DPPB_ECOLI			0	2	2	0		B
P0AEG6	1	1	1	1	0	1	1	6	G	DSBC_ECOLI	0.35	2	2	2	2		5.196620063	G
P0AEH1	0	1	1	1	0	0	1	4	B	RSEP_ECOLI			2	2	2			B
P0AEJ0	0	1	1	1	0	0	1	4	B	EMRB_ECOLI			2	0	0			B
P0AEJ4	0	1	1	1	0	0	1	4	B	ENVZ_ECOLI			2	2	2			B
P0AEK4	1	1	1	1	0	1	1	6	F1	FABI_ECOLI	1.54	2	2	2	2			F1
P0AEK7	0	1	1	1	1	0	0	4	B	FDNI_ECOLI			0	0	2	0		
P0AEL0	0	1	1	1	0	0	1	4	B	FDOI_ECOLI			2	2	2			B
P0AEL6	0	1	1	1	1	1	1	6	G	FEPB_ECOLI			0	0	0	0	2.62587317	G
P0AEP3	1	1	1	1	0	0	1	5	B	GALU_ECOLI	3.68	2	2	2	2			B
P0AEQ3	1	1	1	1	0	0	1	5	G	GLNH_ECOLI	7.77	2	2	2	2			G
P0AER0	0	1	1	1	0	0	1	4	B	GLPF_ECOLI			2	2	2			B
P0AER3	0	1	1	1	0	0	1	4	B	GLTJ_ECOLI			2	2	2			B
P0AER5	0	1	1	1	0	0	1	4	B	GLTK_ECOLI			2	2	0			B
P0AES9	1	1	1	1	1	1	0	6	G	HDEA_ECOLI		2	2	2	2	0	134.8617851	
P0AET2	0	1	1	1	1	1	0	5	G	HDEB_ECOLI			2	2	2	0	53.81901624	
