K12 Accession	Join Name	emPAI 5 Methods	BL21(DE3) OLC	K12 Entry Name	BL21(DE3) OLC	Mean emPAI value	MTH1/1	MTH1/2	MTH1/3	MTH2/1	MTH2/2	MTH2/3	MTH3/1	MTH3/2	MTH3/3	MTH4/1	MTH4/2	MTH4/3	MTH5/1	MTH5/2	MTH5/3
P36879	253774845	"0,20 |  | 0,44;0,10 |  | "	ECBD_3492	YADG_ECOLI	C6EAT0_ECOBD	0.25	0.2		0.44	0.1		
P0A6C5	253772328	0,07 |  | 0,14	ECBD_0907	ARGA_ECOLI	C6EJ51_ECOBD	0.11	0.07		0.14			
P0A901	253775221	 | 0,59 | 	ECBD_3880	BLC_ECOLI	C6ECX4_ECOBD	0.59		0.59				
P0A9V1	253771965	" |  | 0,42; |  | 0,12"	ECBD_0541	LPTB_ECOLI	C6EH26_ECOBD	0.27			0.42			0.12
P0A9B2	253773266	" | 0,31 | ; |  | 0,43"	ECBD_1865	G3P1_ECOLI	C6EC50_ECOBD	0.37		0.31				0.43
P0A9R7	253771708	 |  | 0,29	ECBD_0278	FTSE_ECOLI	C6EFB1_ECOBD	0.29			0.29			
P0AC38	253775233	" | 0,13 | ; |  | 0,06"	ECBD_3892	ASPA_ECOLI	C6ECY6_ECOBD	0.1		0.13				0.06
P0A998	253773140	" | 0,38 | ;0,17 |  | "	ECBD_1735	FTNA_ECOLI	C6EBF4_ECOBD	0.28		0.38		0.17		
P0A8F0	253772610	 |  | 0,32	ECBD_1190	UPP_ECOLI	C6EKL3_ECOBD	0.32			0.32			
P0A887	253775526	0,12 |  | 	ECBD_4190	UBIE_ECOLI	C6EF63_ECOBD	0.12	0.12					
P0A825	253772553	" |  | 0,07; |  | 0,07"	ECBD_1133	GLYA_ECOLI	C6EKF6_ECOBD	0.07			0.07			0.07
P16528	253775358	 |  | 0,11	ECBD_4019	ICLR_ECOLI	C6EE06_ECOBD	0.11			0.11			
P08956	253775029	 |  | 0,13	ECBD_3680	T1RK_ECOLI	C6EBN0_ECOBD	0.13			0.13			
P0A7A2	253774975	 |  | 0,14	ECBD_3625	GPMB_ECOLI	C6EBH6_ECOBD	0.14			0.14			
P0A836	253774302	 | 0,08 | 	ECBD_2933	SUCC_ECOLI	C6EJL0_ECOBD	0.08		0.08				
P00350	253773042	" | 0,22 | ;0,14 |  | "	ECBD_1630	6PGD_ECOLI	C6EB56_ECOBD	0.18		0.22		0.14		
P0A8C1	253774104	 | 0,30 | 	ECBD_2728	YBJQ_ECOLI	C6EIB5_ECOBD	0.3		0.3				
P75957	253773860	 |  | 0,13	ECBD_2484	LOLD_ECOLI	C6EGX5_ECOBD	0.13			0.13			
P00363	253775216	" | 0,16 | ;0,16 |  | "	ECBD_3875	FRDA_ECOLI	C6ECW9_ECOBD	0.16		0.16		0.16		
P0A6P7	253775500	 |  | 0,15	ECBD_4163	ENGB_ECOLI	C6EF37_ECOBD	0.15			0.15			
P62707	253774281	 | 0,12 | 	ECBD_2912	GPMA_ECOLI	C6EJI9_ECOBD	0.12		0.12				
P37177	253772317	 |  | 0,04	ECBD_0896	PT1P_ECOLI	C6EJ40_ECOBD	0.04			0.04			
P39297	253775186	 | 0,28 | 	ECBD_3845	BSMA_ECOLI	C6ECG0_ECOBD	0.28		0.28				
P0AAJ5	253775469	 |  | 0,10	ECBD_4132	FDOH_ECOLI	C6EF06_ECOBD	0.1			0.1			
P0AE08	253774410	" | 0,16 | ; |  | 0,16"	ECBD_3047	AHPC_ECOLI	C6EK89_ECOBD	0.16		0.16				0.16
P0ABU7	253772156	 |  | 0,13	ECBD_0733	EXBB_ECOLI	C6EHY7_ECOBD	0.13			0.13			
P0A7X6	253772498	 |  | 0,35	ECBD_1078	RIMM_ECOLI	C6EJY4_ECOBD	0.35			0.35			
P0ADE6	253772474	" | 0,21 | ;0,21 |  | "	ECBD_1054	YGAU_ECOLI	C6EJW0_ECOBD	0.21		0.21		0.21		
P69783	253772683	" | 0,19 | ;0,19 |  | "	ECBD_1264	PTGA_ECOLI	C6EL60_ECOBD	0.19		0.19		0.19		
P0ACL0	253771748	 |  | 0,12	ECBD_0319	GLPR_ECOLI	C6EFF1_ECOBD	0.12			0.12			
P0A9G6	253775360	" | 0,07 | ; |  | 0,07"	ECBD_4022	ACEA_ECOLI	C6EE08_ECOBD	0.07		0.07				0.07
P37194	253771665	 | 0,35 | 	ECBD_0235	SLP_ECOLI	C6EEH9_ECOBD	0.35		0.35				
P0AFI7	253773403	 |  | 0,13	ECBD_2005	PDXH_ECOLI	C6EDK7_ECOBD	0.13			0.13			
P76346	253773077	 |  | 0,11	ECBD_1669	MTFA_ECOLI	C6EB91_ECOBD	0.11			0.11			
P0A7Q6	253771877	 |  | 0,81	ECBD_0452	RL36_ECOLI	C6EGG7_ECOBD	0.81			0.81			
P64581	253772064	 | 0,31 | 	ECBD_0641	YQJD_ECOLI	C6EHP5_ECOBD	0.31		0.31				
P23869	253774487	 | 0,19 | 	ECBD_3133	PPIB_ECOLI	C6EKU1_ECOBD	0.19		0.19				
P0A6E4	253771993	 |  | 0,07	ECBD_0569	ASSY_ECOLI	C6EH54_ECOBD	0.07			0.07			
P0AE14	253774861	 | 0,10 | 	ECBD_3508	AMPE_ECOLI	C6EAU6_ECOBD	0.1		0.1				
P0A9H7	253773380	 |  | 0,07	ECBD_1982	CFA_ECOLI	C6ECU2_ECOBD	0.07			0.07			
P37760	253773028	0,10 |  | 	ECBD_1615	RMLD_ECOLI	C6EAR7_ECOBD	0.1	0.1					
P0ACC7	253775635	 | 0,07 | 	ECBD_4302	GLMU_ECOLI	C6EG73_ECOBD	0.07		0.07				
P0A6R0	253773886	 |  | 0,10	ECBD_2510	FABH_ECOLI	C6EHC3_ECOBD	0.1			0.1			
P05707	253772440	 |  | 0,25	ECBD_1020	SRLD_ECOLI	C6EJS6_ECOBD	0.25			0.25			
P0AGI8	253771887	 | 0,07 | 	ECBD_0462	TRKA_ECOLI	C6EGH7_ECOBD	0.07		0.07				
P0A8R7	253773676	" | 0,08 | ; |  | 0,08"	ECBD_2295	YCJF_ECOLI	C6EFR0_ECOBD	0.08		0.08				0.08
P0A7D7	253772632	 |  | 0,12	ECBD_1213	PUR7_ECOLI	C6EKN5_ECOBD	0.12			0.12			
P0A6T5	253772921	 |  | 0,13	ECBD_1505	GCH1_ECOLI	C6EAG0_ECOBD	0.13			0.13			
P37652	253771637	" | 0,04 | ; |  | 0,08"	ECBD_0207	BCSB_ECOLI	C6EEF1_ECOBD	0.06		0.04				0.08
P0ABH7	253774310	 | 0,07 | 	ECBD_2941	CISY_ECOLI	C6EJL8_ECOBD	0.07		0.07				
Q46857	253772151	 | 0,09 | 	ECBD_0728	DKGA_ECOLI	C6EHY2_ECOBD	0.09		0.09				
P22259	253771768	 | 0,11 | 	ECBD_0342	PCKA_ECOLI	C6EFH1_ECOBD	0.11		0.11				
P76471	253772826	 | 0,18 | 	ECBD_1409	YFAZ_ECOLI	C6E9V0_ECOBD	0.18		0.18				
P10121	253771707	 |  | 0,06	ECBD_0277	FTSY_ECOLI	C6EFB0_ECOBD	0.06			0.06			
P0AA43	253772890	0,13 |  | 	ECBD_1474	RSUA_ECOLI	C6EA14_ECOBD	0.13	0.13					
P27550	253775303	 | 0,05 | 	ECBD_3963	ACSA_ECOLI	C6ED56_ECOBD	0.05		0.05				
P30850	253773712	 | 0,05 | 	ECBD_2331	RNB_ECOLI	C6EFU6_ECOBD	0.05		0.05				
P0AC53	253773192	" |  | 0,06; |  | 0,12"	ECBD_1787	G6PD_ECOLI	C6EBX6_ECOBD	0.09			0.06			0.12
P06616	253772535	 |  | 0,10	ECBD_1115	ERA_ECOLI	C6EK21_ECOBD	0.1			0.1			
P0A9X1	253773185	 |  | 0,11	ECBD_1780	ZNUC_ECOLI	C6EBW9_ECOBD	0.11			0.11			
P0A7E9	253774802	 |  | 0,27	ECBD_3448	PYRH_ECOLI	C6EAB4_ECOBD	0.27			0.27			
P0A6G7	253774574	0,15 |  | 	ECBD_3220	CLPP_ECOLI	C6EL28_ECOBD	0.15	0.15					
P11875	253773167	 | 0,05 | 	ECBD_1762	SYR_ECOLI	C6EBV1_ECOBD	0.05		0.05				
P15288	253774738	" | 0,06 | ; |  | 0,06"	ECBD_3384	PEPD_ECOLI	C6EA50_ECOBD	0.06		0.06				0.06
P37095	253772581	" | 0,07 | ; |  | 0,07"	ECBD_1161	PEPB_ECOLI	C6EKI4_ECOBD	0.07		0.07				0.07
P00904	253773739	 | 0,09 | 	ECBD_2359	TRPG_ECOLI	C6EFX3_ECOBD	0.09		0.09				
P0A915	253773746	 | 0,15 | 	ECBD_2366	OMPW_ECOLI	C6EFY0_ECOBD	0.15		0.15				
P07913	253771541	0,09 |  | 	ECBD_0109	TDH_ECOLI	C6EDH3_ECOBD	0.09	0.09					
P0AB58	253773720	 | 0,07 | 	ECBD_2339	YCIM_ECOLI	C6EFV4_ECOBD	0.07		0.07				
P09158	253774851	 |  | 0,06	ECBD_3498	SPEE_ECOLI	C6EAT6_ECOBD	0.06			0.06			
P37637	253771656	 |  | 0,16	ECBD_0226	MDTF_ECOLI	C6EEH0_ECOBD	0.16			0.16			
P0AAF6	253774106	 |  | 0,26	ECBD_2730	ARTP_ECOLI	C6EIB7_ECOBD	0.26			0.26			
P33195	253772256	 |  | 0,03	ECBD_0834	GCSP_ECOLI	C6EIK5_ECOBD	0.03			0.03			
P0AC23	253774067	0,11 |  | 	ECBD_2691	FOCA_ECOLI	C6EI78_ECOBD	0.11	0.11					
P14376	253772858	 |  | 0,03	ECBD_1441	RCSC_ECOLI	C6E9Y2_ECOBD	0.03			0.03			
P31119	253772309	 | 0,08 | 	ECBD_0888	AAS_ECOLI	C6EJ32_ECOBD	0.08		0.08				
P07813	253774372	 |  | 0,07	ECBD_3009	SYL_ECOLI	C6EK51_ECOBD	0.07			0.07			
P0A870	253774960	 |  | 0,09	ECBD_3610	TALB_ECOLI	C6EBG1_ECOBD	0.09			0.09			
P0A6P1	253774803	 |  | 0,11	ECBD_3449	EFTS_ECOLI	C6EAB5_ECOBD	0.11			0.11			
P0AD14	253772947	 | 0,05 | 	ECBD_1533	YEHU_ECOLI	C6EAI6_ECOBD	0.05		0.05				
P52645	253773625	 |  | 0,03	ECBD_2242	YDBH_ECOLI	C6EEW3_ECOBD	0.03			0.03
P76578	253772586	0,02 |  | 	ECBD_1166	YFHM_ECOLI	C6EKI9_ECOBD	0.02	0.02		
P0A6A3	253772780	 |  | 0,08	ECBD_1363	ACKA_ECOLI	C6ELF7_ECOBD	0.08			0.08
P69874	253773850	 |  | 0,08	ECBD_2473	POTA_ECOLI	C6EGW5_ECOBD	0.08			0.08
P00803	253772533	 |  | 0,09	ECBD_1113	LEP_ECOLI	C6EK19_ECOBD	0.09			0.09
P0C066	253772198	0,08 |  | 	ECBD_0776	MLTC_ECOLI	C6EIE7_ECOBD	0.08	0.08		
P24177	253772639	 | 0,03 | 	ECBD_1220	ACRD_ECOLI	C6EKP2_ECOBD	0.03		0.03	
P00509	253774043	 |  | 0,08	ECBD_2667	AAT_ECOLI	C6EI54_ECOBD	0.08			0.08
P76002	253773823	 |  | 0,23	ECBD_2444	YCGK_ECOLI	C6EGT8_ECOBD	0.23			0.23
P0A884	253772319	 |  | 0,11	ECBD_0898	TYSY_ECOLI	C6EJ42_ECOBD	0.11			0.11
