Entry name (Uniprot)	Merge ID	Masuda2009_fin	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Normalized And Descr Itensity	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
FLIE_ECOLI	P0A8T5	0	1	1	1	1	0	0	4	B		2	0		0		
GFCE_ECOLI	P0A932	1	1	1	1	0	0	1	5	I		2	0	0			I
RHTA_ECOLI	P0AA67	1	1	1	1	0	0	1	5	B	0	2	0	0			B
YEDA_ECOLI	P0AA70	0	1	1	1	0	0	0	3	B		2	0	0			
DGOT_ECOLI	P0AA76	0	1	1	1	0	0	0	3	B		0	0	0			
DSBE_ECOLI	P0AA86	1	1	1	1	1	0	1	6	B		0	0		0		B
MATB_ECOLI	P0AAA3	0	1	1	1	0	0	0	3	G		0	0	0			
ZRAP_ECOLI	P0AAA9	0	1	1	1	1	0	0	4	G		0	0	0	0		
POTE_ECOLI	P0AAF1	0	1	1	1	0	0	0	3	B		0	0	0			
SSUB_ECOLI	P0AAI1	0	1	1	1	0	1	1	5	F1		0	0	0			F1
YBFB_ECOLI	P0AAU5	0	0	1	1	0	0	0	2	B			0	0			
YBIJ_ECOLI	P0AAX3	0	1	1	1	0	0	0	3	G		2	0	0			
ARSB_ECOLI	P0AB93	0	1	1	1	0	0	0	3	B		2	0				
CCMC_ECOLI	P0ABM1	0	1	1	1	1	0	1	5	B		0	0	0	0		B
CCMD_ECOLI	P0ABM5	0	1	1	1	1	0	1	5	B		0	0	0	0		B
SFMA_ECOLI	P0ABW5	0	1	1	1	0	0	0	3	G		0	0	0			
GNTP_ECOLI	P0AC94	0	1	1	1	0	0	0	3	B		2	0	0			
GNTU_ECOLI	P0AC96	0	1	1	1	1	0	0	4	B		2	0		0		
MBHL_ECOLI	P0ACD8	0	1	1	1	1	0	1	5	F1		0	1		0		F1
YEAL_ECOLI	P0ACY6	0	1	1	1	0	0	0	3	B		0	0	0			
YPHA_ECOLI	P0AD47	0	1	1	1	0	0	0	3	B		1	0	0			
ECNB_ECOLI	P0ADB7	0	0	0	0	0	0	1	1	I							I
YIAW_ECOLI	P0ADK4	0	1	1	1	0	0	0	3	B		0	0	0			
YIFL_ECOLI	P0ADN6	1	0	0	0	0	0	1	2	I	1						I
YIGM_ECOLI	P0ADP5	0	1	1	1	0	0	0	3	B		2	0	0			
ARTM_ECOLI	P0AE30	0	1	1	1	1	0	1	5	B		0	1	0	0		B
CPXP_ECOLI	P0AE85	0	0	0	0	0	0	1	1	F2							F2
GALP_ECOLI	P0AEP1	1	1	1	1	1	0	1	6	B	1	2	0		0		B
GLTS_ECOLI	P0AER8	0	1	1	1	0	0	1	4	B		0	0	0			B
HYFE_ECOLI	P0AEW1	0	1	1	1	0	0	0	3	B		0	0				
YJBB_ECOLI	P0AF43	1	1	1	1	0	0	1	5	B	1	0	0	0			B
YJBE_ECOLI	P0AF45	0	1	1	1	0	0	0	3	G		0	0	0			
YJCD_ECOLI	P0AF52	1	1	1	1	0	0	1	5	B	1	2	0				B
YJET_ECOLI	P0AF73	0	1	1	1	0	0	1	4	B		0	0	0			B
