Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P26218	0	1	1	1	0	0	0	3	H	BGLH_ECOLI			0	0	0			
P26266	0	1	1	1	1	0	0	4	B	FEPE_ECOLI			0	0	0	0		
P27125	0	1	1	1	0	0	1	4	B	RHAT_ECOLI			0	0	0			B
P27254	0	1	1	1	0	0	0	3	F1	ARGK_ECOLI			0	0	0			
P27835	0	0	1	1	0	0	0	2	B	WZYE_ECOLI				1	0			
P27842	0	1	1	1	0	0	0	3	B	YIGF_ECOLI			0	0	0			
P28307	0	1	1	1	1	0	0	4	F4	CSGA_ECOLI			0	0	0	0		
P28915	0	1	1	1	0	0	0	3	G	YBFC_ECOLI			0	0	0			
P30015	0	1	1	1	1	1	0	5	B	LHR_ECOLI			0	0	0	0	0.151489303	
P30130	0	1	1	1	1	1	0	5	H	FIMD_ECOLI			0	0	0	0	0.363873177	
P30860	0	1	1	1	0	0	1	4	G	ARTJ_ECOLI			0	0	0			G
P31058	0	1	1	1	0	0	0	3	G	YADC_ECOLI			0	0				
P31121	0	1	1	1	1	0	0	4	G	MARB_ECOLI			0	0	0	0		
P31130	0	1	1	1	0	1	0	4	G	YDEI_ECOLI			0	0	0		1.370189996	
P31436	0	1	1	1	0	0	0	3	B	SETC_ECOLI			0	0	0			
P31437	0	1	1	1	0	0	1	4	B	YICL_ECOLI			1	0	0			B
P31446	0	1	1	1	0	0	0	3	B	YIDI_ECOLI			0	0				
P31448	0	1	1	1	0	0	0	3	B	YIDK_ECOLI			0	0	0			
P31471	0	1	1	1	0	0	0	3	G	YIEL_ECOLI			0	0	0			
P31826	0	0	1	1	0	0	0	2	B	YDDA_ECOLI				0	0			
P31827	0	1	1	1	0	0	1	4	G	YDDB_ECOLI			0	0				G
P31828	1	1	1	1	0	1	1	6	G	PQQL_ECOLI		1	0	0	0			G
P32106	0	1	1	1	1	0	0	4	G	YIBG_ECOLI			0	0	0	0		
P32135	0	1	1	1	0	0	1	4	B	YIHN_ECOLI			0	0	0			B
P32136	0	1	1	1	0	0	0	3	B	YIHO_ECOLI			0	0				
P32137	0	1	1	1	0	0	0	3	B	YIHP_ECOLI			0	0	0			
P32151	0	1	1	1	0	0	0	3	E	YIIG_ECOLI			0	0	0			
P32155	0	1	1	1	1	0	0	4	F1	PTFA_ECOLI			0	0	0	0		
P32167	0	1	1	1	0	0	0	3	G	YIIX_ECOLI			0	0	0			
P32668	0	1	1	1	0	0	0	3	G	YIJF_ECOLI			0	0	0			
P32672	0	1	1	1	0	0	0	3	B	PTFC2_ECOLI			0	0	0			
P32688	0	1	1	1	0	0	0	3	G	YJBG_ECOLI			0	0	0			
P32701	0	1	1	1	0	0	0	3	B	YJCC_ECOLI			0	0	0			
P32710	0	1	1	1	0	0	0	3	B	NRFE_ECOLI			0	0	0			
P32711	0	1	1	1	1	0	0	4	B	NRFF_ECOLI			0	0	0	0		
P32716	0	1	1	1	0	0	0	3	B	MDTN_ECOLI			0	0	0			
P32720	0	1	1	1	0	0	0	3	B	ALSC_ECOLI			1	0	0			
P33021	0	1	1	1	0	0	0	3	B	NUPX_ECOLI			0	0	0			
P33128	0	1	1	1	1	0	0	4	G	ECPD_ECOLI			0	0	0	0		
