ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
IG 158 254203 255976 fwd at	958.986	0	0.233097
pepD b0237 at	798.241	2	0.000493549
IG 159 255717 258268 rev f at	981.674	2	9,62E-01
gpt b0238 at	470.825	2	0.000493549
IG 160 256436 256526 fwd at	176.74	2	0.0480985
yafA b0239 at	533.387	2	0.000734887
IG 161 257772 257828 fwd at	381.691	2	0.000244141
crl b0240 at	2006.03	2	0.000327479
IG 162 258231 259611 fwd f at	379.869	2	3,71E+00
phoE b0241 at	484.458	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
IG 163 259325 262551 rev at	465.304	2	0.00582176
proB b0242 at	353.99	2	0.000402638
proA b0243 at	263.645	2	0.0442012
IG 164 261981 262094 fwd at	93.651	2	0.0115479
thrW b0244 f at	3797.33	2	0.00049077
IG 165 262171 269465 fwd at	104.844	2	0.00896105
b0245 at	353.939	0	0.764831
yafW b0246 at	190.101	0	0.58986
IG 166 263232 263479 rev at	202.765	1	0.0558844
ykfG b0247 at	273.251	0	0.75224
yafX b0248 at	104.571	0	0.921094
IG 167 264431 264527 rev at	37.733	2	0.0018643
ykfF b0249 at	199.532	2	0.00529677
IG 168 264768 264843 rev at	635.052	0	0.5
ykfB b0250 at	1034.5	2	0.00094359
yafY b0251 at	146.055	2	0.0239949
IG 169 266192 266407 rev at	483.675	0	0.976587
yafZ b0252 at	335.269	0	0.388213
IG 170 267245 267320 rev at	835.531	0	0.441895
ykfA b0253 at	109.324	0	0.304618
IG 171 268188 268512 rev at	185.43	2	0.0267372
perR b0254 at	202.933	2	0.00116472
IG 172 269407 273324 rev at	305.311	2	0.00264212
yi91a b0255 at	371.249	0	0.181744
IG 173 270979 271053 fwd at	210.347	2	0.00320325
b0257 at	282.731	2	0.00175518
IG 174 271480 272085 fwd at	447.451	2	0.00379911
ykfC b0258 at	253.604	0	0.140265
IG 175 273217 274524 fwd at	731.099	0	0.522646
IG 176 274342 276979 rev at	138.796	2	0.00265984
ykfD b0260 at	219.194	2	0.0480985
yagD b0261 at	241.624	0	0.28503
IG 177 276872 281480 fwd f at	127.253	2	2,57E-02
afuC b0262 at	662.934	0	0.230151
b0263 at	106.638	0	0.71497
insA 2 b0265 s at	2410.63	2	0.015625
IG 178 279100 279608 rev f at	878.412	2	0.000959383
yagB b0266 at	143.716	2	0.000761638
IG 179 279987 280052 rev f at	334.016	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
yagA b0267 at	214.739	0	0.254899
IG 180 281208 287627 rev at	247.667	0	0.191017
yagE b0268 at	397.19	2	0.00993898
yagF b0269 at	224.94	2	0.00225703 begin_of_the_skype_highlighting              00225703      end_of_the_skype_highlighting
IG 181 284393 284618 fwd at	786.947	2	0.00188612
yagG b0270 at	136.529	0	0.230151
yagH b0271 at	283.553	0	0.181744
IG 182 287624 290723 fwd f at	168.294	0	0.379466
yagI b0272 at	192.312	0	0.230151
IG 183 288387 288524 rev at	555.271	0	0.088557
argF b0273 at	766.839	0	0.786736
IG 184 289530 289872 rev at	259.536	2	0.00657518 begin_of_the_skype_highlighting              00657518      end_of_the_skype_highlighting
IG 185 290571 291545 rev at	233.765	0	0.855261
yagJ b0276 at	216.251	2	0.00188612
IG 186 291456 302214 fwd f at	435.367	2	1,31E-02
yagK b0277 at	689.646	2	0.0206634
IG 187 292173 292443 rev at	273.908	0	0.58986
yagL b0278 at	174.849	0	0.345472
yagM b0279 at	823.571	0	0.364945
IG 188 294024 294362 rev at	642.121	2	0.015454
yagN b0280 at	2123.48	2	0.00049077
IG 189 294804 294919 rev at	569.095	2	0.00049077
intF b0281 at	139.222	2	0.000402638
IG 190 296321 296604 rev at	571.907	2	0.0442012
yagP b0282 at	508.379	2	0.00961172
yagQ b0283 at	110.725	0	0.997307
yagR b0284 at	35.26	0	0.611218
yagS b0285 at	342.579	0	0.611218
yagT b0286 at	168.147	0	0.54522
IG 191 301798 303076 rev at	183.243	0	0.33664
yagU b0287 at	875.978	0	0.153312
IG 192 302830 311335 fwd at	181.318	0	0.527409
ykgJ b0288 at	112.846	2	0.0129214
IG 193 303407 303718 rev at	278.672	1	0.0620214
yagV b0289 at	904.596	0	0.167138
yagW b0290 at	189.359	2	0.00288579
yagX b0291 at	833.488	0	0.235169
yagY b0292 at	29.877	0	0.635055
IG 194 309251 309307 rev at	182.015	0	0.870361
yagZ b0293 at	684.702	0	0.216313
IG 195 309896 309969 rev at	106.191	0	0.635055
ykgK b0294 at	728.582	0	0.366636
IG 196 310561 311737 rev at	108.518	0	0.545035
ykgL b0295 at	484.735	2	0.0497698
IG 197 311564 313580 fwd at	364.698	0	0.803333
ykgM b0296 at	758.698	0	0.58986
IG 198 312002 315673 rev f at	183.269	0	0.403812
eaeH b0297 at	776.346	0	0.11649
ykgA b0300 f at	120.057	2	6,59E+00
IG 199 315678 317525 fwd at	296.851	0	0.675219
IG 200 316394 316949 rev at	139.148	0	0.675219
ykgB b0301 at	977.197	0	0.11649
b0302 at	329.579	0	0.266065
ykgI b0303 at	58.457	0	0.846688
