Merge ID	Masuda2009_fin2	Wang2007_fin	Wang2007_noglucose_fin	Oberto2009_fin	Wei2001_fin	mRNA_Taniguchi_fin	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13 Duplicates	Entry name (Uniprot)	mRNA	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	ABS_CALL	A (mRNA per cell cycle)_RNAseq	Localization
P11289	0	1	1	1	0	0	1	4	I	YFIL_ECOLI			2	2	0			I
P11349	1	1	1	1	0	1	1	6	F1	NARH_ECOLI	1.39	1	0	0	2		0.023431729	F1
P11350	0	1	1	1	1	0	1	5	B	NARI_ECOLI			0	0	2	0		B
P12008	1	1	1	1	0	0	1	5	B	AROC_ECOLI	1	1	2	2	2			B
P13518	0	1	1	1	0	1	1	5	B	YHDA_ECOLI			2	2	0		2.092399378	B
P14376	0	1	1	1	0	1	1	5	B	RCSC_ECOLI			2	2	2			B
P15877	0	1	1	1	0	0	1	4	B	DHG_ECOLI			2	0	0			B
P15993	0	1	1	1	0	0	1	4	B	AROP_ECOLI			2	2	2			B
P16095	1	1	1	1	0	0	1	5	B	SDHL_ECOLI	0.35	1	2	2	2			B
P16676	0	1	1	1	0	0	1	4	F1	CYSA_ECOLI			0	2				F1
