Merge ID	Orbi detected	Non Orbi detected	# Identified	
P37691	1	0	1	YIBQ_ECOLI
P37758	1	0	1	NARU_ECOLI
P37767	1	1	2	YFHH_ECOLI
P37908	1	1	2	YFJD_ECOLI
P38054	0	1	1	CUSA_ECOLI
P38055	0	0	0	YDJE_ECOLI
P38135	1	1	2	FADK_ECOLI
P38506	1	1	2	XNI_ECOLI
P38683	0	1	1	TORT_ECOLI
P39165	0	0	0	YCHO_ECOLI
P39176	1	1	2	ERFK_ECOLI
P39187	1	1	2	YTFJ_ECOLI
P39276	0	0	0	YJDL_ECOLI
P39285	1	1	2	YJEP_ECOLI
P39301	0	1	1	ULAA_ECOLI
P39314	0	0	0	YTFF_ECOLI
P39321	1	1	2	YTFN_ECOLI
P39325	1	1	2	YTFQ_ECOLI
P39342	1	1	2	YJGR_ECOLI
P39405	0	0	0	FHUF_ECOLI
P39453	1	0	1	TORS_ECOLI
P39836	1	0	1	YFEH_ECOLI
P40710	1	1	2	NLPE_ECOLI
P40719	1	1	2	QSEC_ECOLI
P40874	1	1	2	MTOX_ECOLI
P41052	1	1	2	MLTB_ECOLI
P42588	1	1	2	PAT_ECOLI
P42590	0	1	1	YGJI_ECOLI
P42591	0	0	0	YGJJ_ECOLI
P42592	0	1	1	YGJK_ECOLI
P42598	0	1	1	YGJQ_ECOLI
P42601	1	0	1	ALX_ECOLI
P42603	0	0	0	YGJV_ECOLI
P42604	0	1	1	UXAA_ECOLI
P42616	0	1	1	YQJC_ECOLI
P42640	0	0	0	YHBX_ECOLI
P42911	0	1	1	PTPD_ECOLI
P43337	1	1	2	NUDL_ECOLI
P43341	1	1	2	LPXH_ECOLI
P43531	0	1	1	YNFM_ECOLI
P43667	0	0	0	YGAH_ECOLI
P43671	1	1	2	PQIB_ECOLI
P43674	0	1	1	YCAL_ECOLI
P45395	1	1	2	KDSD_ECOLI
P45463	0	1	1	TTDR_ECOLI
P45468	1	1	2	YRAQ_ECOLI
P45537	1	1	2	YHFK_ECOLI
P45565	1	1	2	AIS_ECOLI
P45751	0	1	1	YRFB_ECOLI
P45753	1	1	2	YRFD_ECOLI
P45767	0	0	0	YHDX_ECOLI
P45768	0	1	1	YHDY_ECOLI
P45769	0	1	1	YHDZ_ECOLI
P45800	1	1	2	IGAA_ECOLI
P46022	1	1	2	MTGA_ECOLI
P46118	1	1	2	HEXR_ECOLI
P46126	0	1	1	YFIM_ECOLI
P46130	1	1	2	YBHC_ECOLI
P46136	0	0	0	YDDG_ECOLI
P46139	0	1	1	YFIN_ECOLI
P46141	0	0	0	YGBE_ECOLI
P46142	0	1	1	YGGM_ECOLI
P46478	0	0	0	AAEX_ECOLI
P46482	1	1	2	AAEA_ECOLI
P46889	1	1	2	FTSK_ECOLI
