ID interactor A_ID interactor B	ID interactor A	ID interactor B
P0A9P0_P0AFG6	P0A9P0	P0AFG6
P03623_P0AGD7	P03623	P0AGD7
P0A6Q3_P0AGD7	P0A6Q3	P0AGD7
P0A6Q6_P0AGD7	P0A6Q6	P0AGD7
P0AGD7_P0AGD7	P0AGD7	P0AGD7
P0A9Q7_P0AGD7	P0A9Q7	P0AGD7
P0A9M0_P0AGD7	P0A9M0	P0AGD7
P0A7L0_P0AGD7	P0A7L0	P0AGD7
P60723_P0AGD7	P60723	P0AGD7
P0A7V8_P0AGD7	P0A7V8	P0AGD7
P02990_P0AGD7	P02990	P0AGD7
P0A7L8_P0AGD7	P0A7L8	P0AGD7
P10121_P0AGD7	P10121	P0AGD7
P0ABA6_P07021	P0ABA6	P07021
P0A698_P0A8F8	P0A698	P0A8F8
P06959_P0A8F8	P06959	P0A8F8
P0A9P0_P0AED5	P0A9P0	P0AED5
P0A9P0_P0A8G0	P0A9P0	P0A8G0
P0CE47_P07118	P0CE47	P07118
P0AGB6_P07364	P0AGB6	P07364
P06959_P07604	P06959	P07604
P0ABA4_P07604	P0ABA4	P07604
P68187_P68183	P68187	P68183
P0A6H1_P0AAH0	P0A6H1	P0AAH0
P77488_P0AAH0	P77488	P0AAH0
P0C058_P0AAH0	P0C058	P0AAH0
P0A817_P0AAH0	P0A817	P0AAH0
P0AAH0_P0AAH0	P0AAH0	P0AAH0
P0A9H7_P0AAH0	P0A9H7	P0AAH0
P09152_P0AAH0	P09152	P0AAH0
P16918_P0AAH0	P16918	P0AAH0
P75954_P0AAH0	P75954	P0AAH0
P0CG19_P0AAH0	P0CG19	P0AAH0
P0A8V2_P0AAH0	P0A8V2	P0AAH0
P0AEI1_P0AAH0	P0AEI1	P0AAH0
P0A9K7_P0A9K7	P0A9K7	P0A9K7
P0A698_P0A698	P0A698	P0A698
P28905_P0A698	P28905	P0A698
P0AFF6_P0A698	P0AFF6	P0A698
P60785_P60785	P60785	P60785
P0A6C5_P60785	P0A6C5	P60785
P75830_P60785	P75830	P60785
