ID interactor A	ID interactor B
P02418	P02387
P77254	P02387
P36659	P02387
P36996	P02387
P24245	P02387
P23304	P02387
P03004	P02387
P18391	P02387
P21774	P02387
P04742	P02387
P08756	P02387
P31059	P02387
P21645	P02387
P03003	P02387
P42184	P02387
P29464	P02387
P24210	P02387
P21513	P02387
P02388	P02387
P02424	P02387
P00574	P02387
P00579	P02387
P08374	P02387
P15082	P02387
P02339	P02387
P19675	P02387
P07028	P02387
P77734	P02387
P08999	P02387
P75829	P02387
P00892	P02387
P37765	P02387
P36979	P02387
P33635	P02387
Q46930	P02387
P32049	P02387
P37195	P02387
P02416	P02387
P19245	P02388
P15277	P02388
P36997	P02388
P27251	P02388
P03004	P02388
P03005	P02388
P10443	P02388
P04475	P02388
P11028	P02388
P00960	P02388
P28691	P02388
P32168	P02388
P16528	P02388
P04951	P02388
P23875	P02388
P07813	P02388
P21645	P02388
P00490	P02388
P03003	P02388
P16921	P02388
P20083	P02388
P05055	P02388
P00582	P02388
P42184	P02388
P23932	P02388
P29464	P02388
P24210	P02388
P25539	P02388
P02388	P02388
P27430	P02388
P02996	P02388
P37191	P02388
P09373	P02388
P02384	P02388
P02408	P02388
P02410	P02388
P02411	P02388
P02425	P02388
P02351	P02388
P02352	P02388
P02354	P02388
P02359	P02388
P02366	P02388
P02369	P02388
P10408	P02388
P21507	P02388
P21499	P02388
P30871	P02388
P00574	P02388
P00579	P02388
P19675	P02388
P14294	P02388
P75767	P02388
P00892	P02388
P37765	P02388
P52648	P02388
P36979	P02388
P37195	P02388
P02390	P02389
P19245	P02389
P36996	P02389
P21774	P02389
P02999	P02389
P17579	P02389
P23282	P02389
P24210	P02389
P14374	P02389
P02388	P02389
P77349	P02389
P75829	P02389
P37765	P02389
P32049	P02389
P36659	P02390
P04475	P02390
P00960	P02390
P10440	P02390
P06277	P02390
P02388	P02390
P02424	P02390
P32052	P02390
P77349	P02390
P00892	P02390
P37765	P02390
P32049	P02390
P39290	P02390
P02392	P02392
P02408	P02392
P02409	P02392
P02389	P02392
P02359	P02392
P02370	P02392
P02374	P02392
P02390	P02392
P02411	P02392
P02416	P02392
P02995	P02392
P07012	P02392
P42908	P02392
P75874	P02392
P15716	P02392
P03020	P02392
Q47130	P02392
P10443	P02392
P06137	P02392
P09372	P02392
P15038	P02392
P25521	P02392
P28689	P02392
P10486	P02392
P31059	P02392
P08142	P02392
P02999	P02392
P22939	P02392
P04951	P02392
P23282	P02392
P28909	P02392
P16921	P02392
P00482	P02392
P00582	P02392
P42184	P02392
P23830	P02392
P21155	P02392
P29464	P02392
P21513	P02392
P00575	P02392
P08374	P02392
P10408	P02392
P17580	P02392
P21507	P02392
P02339	P02392
P21202	P02392
P37345	P02392
P14294	P02392
P23003	P02392
P07027	P02392
P18595	P02392
P25538	P02392
P37175	P02392
P77756	P02392
P75707	P02392
P77349	P02392
P52648	P02392
P36979	P02392
P05852	P02392
P42641	P02392
P31473	P02392
P32148	P02392
P39286	P02392
P39299	P02392
P45393	P02392
P02409	P02408
P15716	P02408
P19245	P02408
P21774	P02408
P07019	P02408
P21346	P02408
P36541	P02408
P31059	P02408
P42184	P02408
P37351	P02408
P02424	P02408
P36540	P02408
P32049	P02408
P23304	P02409
P06137	P02409
P31120	P02409
P28909	P02409
P22634	P02409
P28637	P02409
P42184	P02409
P02424	P02409
P36540	P02409
P42550	P02409
P45748	P02409
P02389	P02409
P02390	P02409
P02386	P02410
P02421	P02410
P02367	P02410
P15716	P02410
P19245	P02410
Q47130	P02410
P11876	P02410
P10443	P02410
P03007	P02410
P21774	P02410
P04742	P02410
P21346	P02410
P11457	P02410
P16528	P02410
P02995	P02410
P02999	P02410
P10440	P02410
P21645	P02410
P07906	P02410
P31120	P02410
P22523	P02410
P28909	P02410
P17443	P02410
P04381	P02410
P20082	P02410
P05055	P02410
P23932	P02410
P14374	P02410
P02424	P02410
P00577	P02410
P17580	P02410
P19675	P02410
P00954	P02410
P07028	P02410
P03018	P02410
P21499	P02410
P45571	P02410
P77349	P02410
P75767	P02410
P00892	P02410
P36979	P02410
P42550	P02410
P39290	P02410
P39299	P02410
P33371	P02410
P45802	P02410
P02420	P02411
P17579	P02411
P10440	P02411
P42184	P02411
P07028	P02411
P45567	P02411
P00892	P02411
Q46930	P02411
P33371	P02411
P45802	P02411
P02425	P02411
P76086	P02413
P03004	P02413
P03005	P02413
P25521	P02413
P02999	P02413
P21645	P02413
P00482	P02413
P17963	P02413
P00577	P02413
P00579	P02413
P21499	P02413
P45567	P02413
P00892	P02413
P36979	P02413
P76594	P02413
P02387	P02413
P02416	P02413
P0A9P6	P02413
P0A776	P02413
P0AA39	P02413
P0ADZ0	P02413
P0A8E5	P02413
P0A8M6	P02413
P39407	P02413
P0A6A8	P02413
P0A901	P02413
P0ACB0	P02413
P02918	P02413
P0AG24	P02413
P36879	P02413
P0A8Z3	P02413
P75876	P02413
P76440	P02413
P0A8W8	P02413
P0AF90	P02413
P0ABA6	P02413
P23304	P02414
P03004	P02414
P28630	P02414
P32168	P02414
P42184	P02414
P24210	P02414
P00577	P02414
P45567	P02414
P77349	P02414
P33635	P02414
P76594	P02414
Q46930	P02414
P02430	P02416
P23304	P02416
P05055	P02416
P02388	P02416
P17580	P02416
Q46930	P02416
P02427	P02416
P02392	P02418
P36659	P02418
P15716	P02418
P23304	P02418
P17579	P02418
P08177	P02418
P21645	P02418
P00490	P02418
P07906	P02418
P00482	P02418
P05055	P02418
P29464	P02418
P24229	P02418
P06277	P02418
P02424	P02418
P14081	P02418
P22563	P02418
P17580	P02418
P05838	P02418
P19675	P02418
P45571	P02418
P75829	P02418
P36979	P02418
P33635	P02418
Q46930	P02418
P32049	P02418
P39290	P02418
P45802	P02418
P02423	P02419
P15716	P02419
P36996	P02419
P23304	P02419
P22523	P02419
P02424	P02419
P17580	P02419
P15082	P02419
Q46930	P02419
P36564	P02419
P39290	P02419
P02386	P02420
P02426	P02420
P02390	P02420
P02419	P02420
P02354	P02420
P33224	P02420
P76503	P02420
P19245	P02420
P15277	P02420
P24245	P02420
P36997	P02420
P00475	P02420
P18391	P02420
P21774	P02420
P00960	P02420
P09372	P02420
P25521	P02420
P08756	P02420
P02999	P02420
P23282	P02420
P06993	P02420
P03003	P02420
P00482	P02420
P18133	P02420
P17288	P02420
P42184	P02420
P29464	P02420
P24210	P02420
P14374	P02420
P06277	P02420
P00577	P02420
P00579	P02420
P14081	P02420
P17580	P02420
P06612	P02420
P07028	P02420
P77734	P02420
P75829	P02420
P37765	P02420
P76104	P02420
P32049	P02420
P36564	P02420
P45802	P02420
P02425	P02420
P02423	P02420
P02422	P02421
P76086	P02421
P06137	P02421
P02999	P02421
P23282	P02421
P08177	P02421
P10440	P02421
P21645	P02421
P06277	P02421
P19675	P02421
P21499	P02421
P75829	P02421
P76104	P02421
