	ID interactor A	ID interactor B
RL21_ECOLI	P0AG48	P00960
RL28_ECOLI	P0A7M2	P00960
NADE_ECOLI	P18843	P00960
RL5_ECOLI	P62399	P00960
RL6_ECOLI	P0AG55	P00960
RL13_ECOLI	P0AA10	P00960
RL16_ECOLI	P0ADY7	P00960
RL19_ECOLI	P0A7K6	P00960
RS13_ECOLI	P0A7S9	P00960
SYGB_ECOLI	P00961	P00961
GYRB_ECOLI	P0AES6	P00961
NRDR_ECOLI	P0A8D0	P00961
SYQ_ECOLI	P00962	P00962
LPXD_ECOLI	P21645	P00962
ASNA_ECOLI	P00963	P00963
SUCC_ECOLI	P0A836	P00963
CARA_ECOLI	P0A6F1	P00968
CARB_ECOLI	P00968	P00968
GREA_ECOLI	P0A6W5	P00968
CARA_ECOLI	P0A6F1	P00968
RS10_ECOLI	P0A7R5	P00968
EX1_ECOLI	P04995	P0AGE0
SSB_ECOLI	P0AGE0	P0AGE0
DPO3A_ECOLI	P10443	P0AGE0
HOLC_ECOLI	P28905	P0AGE0
HOLD_ECOLI	P28632	P0AGE0
HOLE_ECOLI	P0ABS8	P0AGE0
LON_ECOLI	P0A9M0	P0AGE0
PARE_ECOLI	P20083	P0AGE0
YAIX_ECOLI	P75697	P0AGE0
GYRA_ECOLI	P0AES4	P0AGE0
DBHA_ECOLI	P0ACF0	P0AGE0
PHSM_ECOLI	P00490	P0AGE0
NOHA_ECOLI	P31061	P0AGE0
RL3_ECOLI	P60438	P0AGE0
RL4_ECOLI	P60723	P0AGE0
RL19_ECOLI	P0A7K6	P0AGE0
RL22_ECOLI	P61175	P0AGE0
RL24_ECOLI	P60624	P0AGE0
RL33_ECOLI	P0A7N9	P0AGE0
RPOA_ECOLI	P0A7Z4	P0AGE0
RPOC_ECOLI	P0A8T7	P0AGE0
RS4_ECOLI	P0A7V8	P0AGE0
RS10_ECOLI	P0A7R5	P0AGE0
SLYD_ECOLI	P0A9K9	P0AGE0
ARNA_ECOLI	P77398	P0AGE0
YFIF_ECOLI	P0AGJ5	P0AGE0
DBHA_ECOLI	P0ACF0	P0ACF4
DBHB_ECOLI	P0ACF4	P0ACF4
CSPA_ECOLI	P0A9X9	P0ACF4
DEAD_ECOLI	P0A9P6	P0ACF4
FIS_ECOLI	P0A6R3	P0ACF4
IHFA_ECOLI	P0A6X7	P0ACF4
HNS_ECOLI	P0ACF8	P0ACF4
RL3_ECOLI	P60438	P0ACF4
RPOA_ECOLI	P0A7Z4	P0ACF4
RS7_ECOLI	P02359	P0ACF4
KDSB_ECOLI	P04951	P0ACF4
NFI_ECOLI	P68739	P0ACF4
PYRH_ECOLI	P0A7E9	P0ACF4
SLYD_ECOLI	P0A9K9	P0ACF4
SSRP_ECOLI	P0A832	P0ACF4
TGT_ECOLI	P0A847	P0ACF4
UVRD_ECOLI	P03018	P0ACF4
ULAR_ECOLI	P0A9W0	P0ACF4
DBHA_ECOLI	P0ACF0	P0ACF0
CSPD_ECOLI	P0A968	P0ACF0
CSPE_ECOLI	P0A972	P0ACF0
DEAD_ECOLI	P0A9P6	P0ACF0
IHFB_ECOLI	P0A6Y1	P0ACF0
HNS_ECOLI	P0ACF8	P0ACF0
PHSM_ECOLI	P00490	P0ACF0
MALQ_ECOLI	P15977	P0ACF0
RPOA_ECOLI	P0A7Z4	P0ACF0
KDSA_ECOLI	P0A715	P0ACF0
NFI_ECOLI	P68739	P0ACF0
PNP_ECOLI	P05055	P0ACF0
RNPA_ECOLI	P0A7Y8	P0ACF0
RPOB_ECOLI	P0A8V2	P0ACF0
RPOC_ECOLI	P0A8T7	P0ACF0
SSRP_ECOLI	P0A832	P0ACF0
TGT_ECOLI	P0A847	P0ACF0
UVRB_ECOLI	P0A8F8	P0ACF0
UVRD_ECOLI	P03018	P0ACF0
RNR_ECOLI	P21499	P0ACF0
YBAZ_ECOLI	P0AFP2	P0ACF0
ALLR_ECOLI	P0ACN4	P0ACF0
YBCJ_ECOLI	P0AAS7	P0ACF0
PHOL_ECOLI	P0A9K3	P0ACF0
RPPH_ECOLI	P0A776	P0ACF0
DUSC_ECOLI	P33371	P0ACF0
GALR_ECOLI	P03024	P0ACF0
RS2_ECOLI	P0A7V0	P0AG67
CBPA_ECOLI	P36659	P0AG67
CLPA_ECOLI	P0ABH9	P0AG67
CSPE_ECOLI	P0A972	P0AG67
DEAD_ECOLI	P0A9P6	P0AG67
KDSB_ECOLI	P04951	P0AG67
PYRH_ECOLI	P0A7E9	P0AG67
RNPA_ECOLI	P0A7Y8	P0AG67
RPOA_ECOLI	P0A7Z4	P0AG67
RS5_ECOLI	P0A7W1	P0AG67
FKBX_ECOLI	P0AEM0	P0AG67
SSRP_ECOLI	P0A832	P0AG67
SPOT_ECOLI	P0AG24	P0AG67
SYT_ECOLI	P0A8M3	P0AG67
TIG_ECOLI	P0A850	P0AG67
YACL_ECOLI	P0A8E5	P0AG67
YBCJ_ECOLI	P0AAS7	P0AG67
PHOL_ECOLI	P0A9K3	P0AG67
RLUB_ECOLI	P37765	P0AG67
RLMN_ECOLI	P36979	P0AG67
RPPH_ECOLI	P0A776	P0AG67
YJEE_ECOLI	P0AF67	P0AG67
RSGA_ECOLI	P39286	P0AG67
ULAR_ECOLI	P0A9W0	P0AG67
RL7_ECOLI	P0A7K2	P0A7V0
RS3_ECOLI	P0A7V3	P0A7V0
SYA_ECOLI	P00957	P0A7V0
ENGA_ECOLI	P0A6P5	P0A7V0
LDCI_ECOLI	P0A9H3	P0A7V0
CLPA_ECOLI	P0ABH9	P0A7V0
CLPP_ECOLI	P0A6G7	P0A7V0
CSPD_ECOLI	P0A968	P0A7V0
CSPG_ECOLI	P0A978	P0A7V0
DNAB_ECOLI	P0ACB0	P0A7V0
FABA_ECOLI	P0A6Q3	P0A7V0
FIS_ECOLI	P0A6R3	P0A7V0
RLME_ECOLI	P0C0R7	P0A7V0
GLMU_ECOLI	P0ACC7	P0A7V0
SYGA_ECOLI	P00960	P0A7V0
GREB_ECOLI	P30128	P0A7V0
GYRB_ECOLI	P0AES6	P0A7V0
HNS_ECOLI	P0ACF8	P0A7V0
HOLC_ECOLI	P28905	P0A7V0
HOLE_ECOLI	P0ABS8	P0A7V0
HRPA_ECOLI	P43329	P0A7V0
LPXD_ECOLI	P21645	P0A7V0
AMPM_ECOLI	P0AE18	P0A7V0
MUKB_ECOLI	P22523	P0A7V0
MURA_ECOLI	P0A749	P0A7V0
MURC_ECOLI	P17952	P0A7V0
PARE_ECOLI	P20083	P0A7V0
IPYR_ECOLI	P0A7A9	P0A7V0
RF2_ECOLI	P07012	P0A7V0
PTH_ECOLI	P0A7D1	P0A7V0
PUR8_ECOLI	P0AB89	P0A7V0
RIBD_ECOLI	P25539	P0A7V0
RNPA_ECOLI	P0A7Y8	P0A7V0
RPOZ_ECOLI	P0A800	P0A7V0
RUVB_ECOLI	P0A812	P0A7V0
SPOT_ECOLI	P0AG24	P0A7V0
SYT_ECOLI	P0A8M3	P0A7V0
TOP3_ECOLI	P14294	P0A7V0
UVRD_ECOLI	P03018	P0A7V0
RNR_ECOLI	P21499	P0A7V0
YBAK_ECOLI	P0AAR3	P0A7V0
YBCJ_ECOLI	P0AAS7	P0A7V0
HSCC_ECOLI	P77319	P0A7V0
ILVG_ECOLI	P00892	P0A7V0
RLMN_ECOLI	P36979	P0A7V0
HSCB_ECOLI	P0A6L9	P0A7V0
RPPH_ECOLI	P0A776	P0A7V0
YGFA_ECOLI	P0AC28	P0A7V0
TRMB_ECOLI	P0A8I5	P0A7V0
DCTR_ECOLI	P37195	P0A7V0
RAVA_ECOLI	P31473	P0A7V0
ULAR_ECOLI	P0A9W0	P0A7V0
RIMN_ECOLI	P45748	P0A7V0
HSLO_ECOLI	P0A6Y5	P0A7V0
RS4_ECOLI	P0A7V8	P0A7V3
ENGA_ECOLI	P0A6P5	P0A7V3
CSPC_ECOLI	P0A9Y6	P0A7V3
CSPD_ECOLI	P0A968	P0A7V3
DCM_ECOLI	P0AED9	P0A7V3
FIMB_ECOLI	P0ADH5	P0A7V3
SYGA_ECOLI	P00960	P0A7V3
LON_ECOLI	P0A9M0	P0A7V3
NUSA_ECOLI	P0AFF6	P0A7V3
NUSG_ECOLI	P0AFG0	P0A7V3
PNP_ECOLI	P05055	P0A7V3
RCSB_ECOLI	P69407	P0A7V3
RHLB_ECOLI	P0A8J8	P0A7V3
RPOB_ECOLI	P0A8V2	P0A7V3
SPOT_ECOLI	P0AG24	P0A7V3
TOP1_ECOLI	P06612	P0A7V3
RNR_ECOLI	P21499	P0A7V3
YBCJ_ECOLI	P0AAS7	P0A7V3
