Merge ID	Cellular Component	Biological Process
P0A8N3	(cytoplasm::cytosol)	(translation)
P43671	(plasma+membrane)	
P02413	(ribosome)	(translation)
P33195	(cytosol)	
P25536	(cytoplasm)	
P0AGM7	(plasma+membrane)	(transmembrane+transport::transport)
P76639	(intracellular)	
P23865	(plasma+membrane)	
P37177	(cytoplasm::plasma+membrane)	(transport)
P23869	(cytoplasm)	(protein+folding)
P0AAN9	(cytoplasm)	
P10371	(cytoplasm)	
P23482	(plasma+membrane)	
P77150	(cytoplasm)	
P26266	(plasma+membrane)	(transport)
P30139	(cytoplasm)	
P0AEP3	(cytosol)	(biosynthetic+process)
P0A8M0	(cytoplasm)	(translation)
P0AF16	(plasma+membrane)	
P0AD01	(cytoplasm)	
P0A8M3	(cytoplasm)	
P30130	(plasma+membrane)	(cell+adhesion::transport)
P0AD03	(plasma+membrane)	
P00448	(cytoplasm)	
P69874	(plasma+membrane)	(transport)
P77504	(plasma+membrane)	(transport)
P06282	(plasma+membrane)	
P10346	(plasma+membrane)	(transport)
P69488	(cytoplasm)	
P0ACP7	(intracellular)	
P0AF01	(plasma+membrane)	(transport)
P11350	(plasma+membrane)	(transport)
P0ACP1	(intracellular)	
P08390	(cytoplasm)	(cellular+amino+acid+metabolic+process)
P0AF03	(cytoplasm)	
P25516	(cytoplasm)	
P0A8L1	(cytosol)	(translation)
P0AD12	(cytoplasm)	
P0AAP3	(cytoplasm)	
P0A7Z4	(cytoplasm)	
P11349	(plasma+membrane)	(transport)
P77510	(plasma+membrane)	
P37194	(plasma+membrane)	
P37195	(intracellular)	
P69490	(plasma+membrane)	
P0AB18	(cytoplasm)	
P28904	(cytoplasm)	
P77730	(intracellular)	(biosynthetic+process)
P45468	(plasma+membrane)	
P77733	(plasma+membrane)	(transport)
P0A825	(cytosol)	
P15254	(cytoplasm)	
P0A7Q6	(ribosome)	(translation)
P75818	(plasma+membrane)	
P0A821	(cytoplasm)	(translation)
P07395	(cytoplasm)	(translation)
P77737	(plasma+membrane)	(transport)
P0AER8	(plasma+membrane)	
P26612	(cytoplasm)	(carbohydrate+metabolic+process)
P0AF36	(cytoplasm)	(cell+cycle::cell+division)
P08178	(cytoplasm)	
P60438	(ribosome)	(translation)
P0AER3	(plasma+membrane)	(transport)
P04805	(cytoplasm)	(translation)
P45472	(intracellular)	
P32155	(cytoplasm)	(transport)
P32156	(cytoplasm)	
P0ACI0	(intracellular)	
P0AAA1	(plasma+membrane)	
P77721	(intracellular)	
P64426	(plasma+membrane)	(carbohydrate+metabolic+process)
P0A817	(cytosol)	
P32173	(cytoplasm)	
P0ACJ8	(intracellular)	
P0A7P5	(ribosome)	(translation)
P05459	(cytoplasm)	
P08373	(cytoplasm)	(cell+cycle::cell+division)
P0AF26	(cytoplasm)	
P27896	(plasma+membrane)	(signal+transduction)
P0ACJ5	(intracellular)	
P32169	(cytoplasm)	
P67087	(cytoplasm)	
P0AF20	(intracellular)	(carbohydrate+metabolic+process)
P0AAB4	(plasma+membrane)	
P0A805	(cytoplasm)	(translation)
P15639	(cytoplasm)	
P77757	(plasma+membrane)	
P38489	(cytosol)	
P0AET8	(cytosol)	(lipid+metabolic+process)
P69054	(plasma+membrane)	(transport)
P0A7N9	(ribosome)	(translation)
P32177	(cytoplasm)	
P0AF52	(plasma+membrane)	(transmembrane+transport::transport)
P0ACK2	(intracellular)	
P32176	(cytoplasm)	
P15034	(cytosol)	
P0ACK8	(intracellular)	(carbohydrate+metabolic+process)
P15031	(plasma+membrane)	(transport)
P0AET5	(plasma+membrane)	
P0ACK5	(intracellular)	
P69828	(cytoplasm)	(transport)
P77743	(cytoplasm::intracellular)	
P69829	(cytoplasm::plasma+membrane)	(transport)
P28224	(plasma+membrane)	
P0A7N4	(ribosome)	(translation)
P46022	(plasma+membrane)	
P23886	(plasma+membrane)	(transmembrane+transport::transport)
P69820	(cytoplasm)	
P69822	(cytoplasm)	
P25748	(intracellular)	
P05793	(cytosol)	
P26602	(cytoplasm)	
P0ACL0	(intracellular)	
P26608	(cytoplasm::cytosol)	
P54745	(plasma+membrane)	(transport)
P0AAD4	(plasma+membrane)	(transport)
P0A7M9	(ribosome)	(translation)
P0ACL2	(intracellular)	
P60422	(ribosome)	(translation)
P0AES2	(cytoplasm)	
P0ACL5	(intracellular)	
P0AES4	(chromosome::cytoplasm)	
P25745	(cytoplasm)	
P0ACL7	(intracellular)	
P15042	(intracellular)	
P0ACL9	(intracellular)	
P15043	(cytoplasm)	
P0A8F4	(cytoplasm)	
P45428	(plasma+membrane)	(transport)
P0A862	(cytoplasm)	
P0A8F0	(cytosol)	
P0AEW1	(plasma+membrane)	
P0AAE2	(plasma+membrane)	(transmembrane+transport::transport)
P0AAE0	(plasma+membrane)	(transmembrane+transport::transport)
P69816	(cytoplasm)	(transport)
P0A867	(cytoplasm)	(carbohydrate+metabolic+process)
P0A8F8	(cytoplasm)	
P0ACE0	(plasma+membrane)	
P0AAE8	(plasma+membrane)	(transmembrane+transport::transport)
P37908	(plasma+membrane)	
P0AF73	(plasma+membrane)	
P60472	(cytoplasm)	(cell+cycle::cell+division)
Q47208	(plasma+membrane)	
P04846	(plasma+membrane)	
P0A853	(cytosol)	(cellular+amino+acid+metabolic+process)
P0A850	(cytosol)	(cell+cycle::protein+complex+assembly)
P07363	(cytoplasm::intracellular)	(signal+transduction)
