Old Uniprot Acc	New Uniprot Acc
P27434	P27434
P14178	P0AD61
Q46845	Q46845
Q46821	Q46821
P0A725	P0A725
P02430	P0AG51
P02409	P0A7J7
P11988	P11988
P24285	P0ABQ0
P04994	P04994
P03818	P0ADN0
P60723	P60723
P37645	P37645
P64426	P64426
P28909	P0A749
P23523	P0ABQ2
P77247	P77247
P77319	P77319
P64451	P64451
P29209	P0C054
P0ABA0	P0ABA0
P0A6P5	P0A6P5
P17109	P17109
P39184	P0A9M8
P0ABT2	P0ABT2
P64506	P64506
P18034	P18034
P0A8N5	P0A8N5
P06713	P0AFB8
P14374	P69407
P24235	P0AC78
P77398	P77398
P75782	P75782
P39384	P39384
P0ACJ0	P0ACJ0
P06959	P06959
P16457	P0ABG4
P31057	P31057
P16682	P16682
P12727	P0A7H6
P75839	P75839
P32715	P32715
P00556	P0ABN1
P07672	P69503
P0A901	P0A901
P09348	P09348
P21774	P0A6Q6
P07366	P0A9H9
P68919	P68919
P00844	P68699
P0A6E9	P0A6E9
P0A7F6	P0A7F6
P07658	P07658
P23485	P23485
P15302	P0AF24
P39385	P39385
P76052	P76052
P06993	P06993
P75826	P75826
P02411	P0ADY3
P63386	P63386
P75969	P75969
P33356	P0AFT5
P37759	P37759
P21499	P21499
P0AD61	P0AD61
P0ABH7	P0ABH7
P77253	P0AEB5
Q46807	Q46807
P06277	P0A7Y8
P0ABI8	P0ABI8
P14825	P0A8N5
P0AC65	P0AC65
P76403	P76403
Q0P6M6	Q0P6M6
P24182	P24182
P27826	P0A8R9
P76170	P76170
P77554	P77554
P39830	P39830
P30855	P30855
P45464	P45464
P22524	P22524
P07656	P0A9K7
P40681	P0A9C3
P0A7T7	P0A7T7
P26602	P26602
P03051	P03051
P32693	P32693
P69405	P69405
P15042	P15042
P07025	P0A8F8
P16927	P0ABH4
P16686	P16686
P32173	P32173
P0A8R7	P0A8R7
P45531	P45531
P37326	P37326
P76342	P76342
P0A944	P0A944
P09147	P09147
P05850	P0A8I8
P23857	P23857
P0AG44	P0AG44
P30748	P30748
P05796	P0A9D4
P0A862	P0A862
P31690	P0AFX4
P0ABB4	P0ABB4
P08550	P08550
P0AAT2	P0AAT2
P64574	P64574
P76578	P76578
P27431	P27431
P07671	P0A698
P45545	P45545
P0A7A7	P0A7A7
P31064	P31064
Q06065	Q06065
P04949	P04949
P32138	P32138
P0A8R9	P0A8R9
P30858	P0AAF6
P0AGD7	P0AGD7
P12281	P12281
P0A6A8	P0A6A8
P11585	P0AG20
P0AGC7	P0AGC7
P28690	P68191
P25527	P25527
P37657	P37657
P0AF36	P0AF36
P0ACE0	P0ACE0
P33898	P33898
P0AAE5	P0AAE5
P0AFZ7	P0AFZ7
P78055	P78055
P33915	P33915
P22523	P22523
P0AGB3	P0AGB3
P76367	P0A8M6
P05852	P05852
P75960	P75960
P37618	P0A890
P45802	P0ACG8
P75938	P75938
P69853	P69853
P27854	P0A6A0
P39263	P39263
P00482	P0A7A7
P0AG90	P0AG90
P0A700	P0A700
P77721	P77721
P23282	P0AC75
P33021	P33021
P09152	P09152
P76542	P76542
P45533	P64624
P00816	P00816
P02929	P02929
P24194	P0A8S1
P76508	P76508
P00586	P00586
P32099	P32099
P02997	P0A6P1
P27290	P0ABU0
P33582	P0AG99
P0C079	P0C079
P05828	P0ABU9
Q46924	P65292
P37011	P0AD99
Q46861	Q46861
P11351	P0AF26
P06712	P0AFB5
P52138	P52138
P13029	P13029
P52109	P0AFS3
P24169	P24169
P31134	P31134
P03030	P03030
P31069	P31069
P02342	P0ACF0
P33937	P33937
P0AEM4	P0AEM4
P05838	P0ACA3
P23243	P61949
P36649	P36649
P00363	P00363
P03827	P03827
Q46808	Q46808
P75876	P75876
P16685	P16685
P76418	P76418
P52043	P52043
Q46864	Q46864
P07682	P60785
Q46894	P0A6S5
P04425	P04425
P0ADU5	P0ADU5
P04335	P04335
P46118	P46118
P04379	P0A8Z0
Q46797	Q46797
P52065	P0A8P3
P22767	P0A6E4
P0AEE1	P0AEE1
P31070	P0AB55
P69681	P69681
P0AG30	P0AG30
P15046	P0A6A3
P0A7I4	P0A7I4
P0A9P6	P0A9P6
P0AEM9	P0AEM9
P63264	P63264
P02361	P0A7W7
P00892	P00892
P77216	P77216
O22160	O22160
P03805	P0A8Q0
Q1R8K8	Q1R8K8
P0AEQ6	P0AEQ6
P0AGJ2	P0AGJ2
P0AFI0	P0AFI0
P0AF63	P0AF63
P37631	P37631
P25516	P25516
P0AB03	P0AB03
P0A799	P0A799
P37146	P37146
P24178	P24178
P02943	P02943
P07365	P0A964
