Entry Name A_Subcellular Location(this study)	Entry Name B_Subcellular Location(this study)	Entry Name A	Entry Name B	Accession A	Accession B	Satus
RS7_A	MNME_F1	RS7_ECOLI	MNME_ECOLI	P02359	P25522	C
RS7_A	SSPB_A	RS7_ECOLI	SSPB_ECOLI	P02359	P0AFZ3	C
RS7_A	FTSH_B	RS7_ECOLI	FTSH_ECOLI	P02359	P0AAI3	C
RS7_A	IBPA_A	RS7_ECOLI	IBPA_ECOLI	P02359	P0C054	C
RS7_A	PYRH_A	RS7_ECOLI	PYRH_ECOLI	P02359	P0A7E9	C
RS7_A	MOAA_A	RS7_ECOLI	MOAA_ECOLI	P02359	P30745	C
RS7_A	HSLU_A	RS7_ECOLI	HSLU_ECOLI	P02359	P0A6H5	C
RS7_A	NFI_A	RS7_ECOLI	NFI_ECOLI	P02359	P68739	C
RS7_A	AIDB_A	RS7_ECOLI	AIDB_ECOLI	P02359	P33224	C
RS7_A	HSCB_A	RS7_ECOLI	HSCB_ECOLI	P02359	P0A6L9	C
RS7_A	RSGA_A	RS7_ECOLI	RSGA_ECOLI	P02359	P39286	C
RS7_A	RLMB_A	RS7_ECOLI	RLMB_ECOLI	P02359	P63177	C
RS7_A	YHBY_A	RS7_ECOLI	YHBY_ECOLI	P02359	P0AGK4	C
RS7_A	HSLR_A	RS7_ECOLI	HSLR_ECOLI	P02359	P0ACG8	C
RS7_A	HSLO_A	RS7_ECOLI	HSLO_ECOLI	P02359	P0A6Y5	C
RS7_A	YBJX_F1	RS7_ECOLI	YBJX_ECOLI	P02359	P75829	C
RS7_A	YDCP_A	RS7_ECOLI	YDCP_ECOLI	P02359	P76104	C
RS7_A	YDIH_A	RS7_ECOLI	YDIH_ECOLI	P02359	P64476	C
RS7_A	PHOL_A	RS7_ECOLI	PHOL_ECOLI	P02359	P0A9K3	C
RL15_A	RPOA_A	RL15_ECOLI	RPOA_ECOLI	P02413	P0A7Z4	C
RL15_A	RL23_A	RL15_ECOLI	RL23_ECOLI	P02413	P0ADZ0	C
RL15_A	RL27_A	RL15_ECOLI	RL27_ECOLI	P02413	P0A7L8	C
RL15_A	ACP_F1	RL15_ECOLI	ACP_ECOLI	P02413	P0A6A8	C
RL15_A	NUSA_A	RL15_ECOLI	NUSA_ECOLI	P02413	P0AFF6	C
RL15_A	PNP_A	RL15_ECOLI	PNP_ECOLI	P02413	P05055	C
RL15_A	RNPA_A	RL15_ECOLI	RNPA_ECOLI	P02413	P0A7Y8	C
RL15_A	IHFB_A	RL15_ECOLI	IHFB_ECOLI	P02413	P0A6Y1	C
RL15_A	HFQ_F1	RL15_ECOLI	HFQ_ECOLI	P02413	P0A6X3	C
RL15_A	IF3_A	RL15_ECOLI	IF3_ECOLI	P02413	P0A707	C
RL15_A	PYRH_A	RL15_ECOLI	PYRH_ECOLI	P02413	P0A7E9	C
RL15_A	RNPA_A	RL15_ECOLI	RNPA_ECOLI	P02413	P0A7Y8	C
RL15_A	TIG_A	RL15_ECOLI	TIG_ECOLI	P02413	P0A850	C
RL15_A	PHOL_A	RL15_ECOLI	PHOL_ECOLI	P02413	P0A9K3	C
RL15_A	YJGF_A	RL15_ECOLI	YJGF_ECOLI	P02413	P0AF93	C
RL15_A	SKP_G	RL15_ECOLI	SKP_ECOLI	P02413	P0AEU7	C
RL15_A	SELB_A	RL15_ECOLI	SELB_ECOLI	P02413	P14081	C
RL15_A	SRLR_A	RL15_ECOLI	SRLR_ECOLI	P02413	P15082	C
