Accession (UNIPROT)	ID interactor A	ID interactor B
P0ACF0	P0AFP2	P0ACF0
P0ACF0	P0ACN4	P0ACF0
P0ACF0	P0AAS7	P0ACF0
P0ACF0	P0A9K3	P0ACF0
P0ACF0	P75829	P0ACF0
P0ACF0	P0A776	P0ACF0
P0ACF0	P33371	P0ACF0
P0ACF0	P03024	P0ACF0
P0AG67	P0A7V0	P0AG67
P0AG67	P36659	P0AG67
P0AG67	P0ABH9	P0AG67
P0AG67	P0A972	P0AG67
P0AG67	P0A9P6	P0AG67
P0AG67	P0AEK4	P0AG67
P0AG67	P0A6X3	P0AG67
P0AG67	P04951	P0AG67
P0AG67	P0A7E9	P0AG67
P0AG67	P0A7Y8	P0AG67
P0AG67	P0A7Z4	P0AG67
P0AG67	P0A7W1	P0AG67
P0AG67	P0AEM0	P0AG67
P0AG67	P0A832	P0AG67
P0AG67	P0AG24	P0AG67
P0AG67	P0A8M3	P0AG67
P0AG67	P0A850	P0AG67
P0AG67	P0A8E5	P0AG67
P0AG67	P0AAS7	P0AG67
P0AG67	P0A9K3	P0AG67
P0AG67	P37765	P0AG67
P0AG67	P36979	P0AG67
P0AG67	P0A776	P0AG67
P0AG67	P0AF67	P0AG67
P0AG67	P39286	P0AG67
P0AG67	P0A9W0	P0AG67
P0A7V0	P0A7K2	P0A7V0
P0A7V0	P0A7V3	P0A7V0
P0A7V0	P00957	P0A7V0
P0A7V0	P0A6P5	P0A7V0
P0A7V0	P0A9H3	P0A7V0
P0A7V0	P0ABH9	P0A7V0
P0A7V0	P0A6G7	P0A7V0
P0A7V0	P0A968	P0A7V0
P0A7V0	P0A978	P0A7V0
P0A7V0	P0ACB0	P0A7V0
P0A7V0	P0A6Q3	P0A7V0
P0A7V0	P0A6Q6	P0A7V0
P0A7V0	P0AGD7	P0A7V0
P0A7V0	P0A6R3	P0A7V0
P0A7V0	P0A9R7	P0A7V0
P0A7V0	P0C0R7	P0A7V0
P0A7V0	P0A9A6	P0A7V0
P0A7V0	P0ACC7	P0A7V0
P0A7V0	P00960	P0A7V0
P0A7V0	P30128	P0A7V0
P0A7V0	P0AES6	P0A7V0
P0A7V0	P0A6X3	P0A7V0
P0A7V0	P0ACF8	P0A7V0
P0A7V0	P28905	P0A7V0
P0A7V0	P0ABS8	P0A7V0
P0A7V0	P43329	P0A7V0
P0A7V0	P33232	P0A7V0
P0A7V0	P60785	P0A7V0
P0A7V0	P21645	P0A7V0
P0A7V0	P0AE18	P0A7V0
P0A7V0	P22523	P0A7V0
P0A7V0	P0A749	P0A7V0
P0A7V0	P17952	P0A7V0
P0A7V0	P20083	P0A7V0
P0A7V0	P0A7A7	P0A7V0
P0A7V0	P0A7A9	P0A7V0
P0A7V0	P07012	P0A7V0
P0A7V0	P42184	P0A7V0
P0A7V0	P0A7D1	P0A7V0
P0A7V0	P0AB89	P0A7V0
P0A7V0	P25539	P0A7V0
P0A7V0	P21513	P0A7V0
P0A7V0	P0A7Y8	P0A7V0
P0A7V0	P0A800	P0A7V0
P0A7V0	P0A812	P0A7V0
P0A7V0	P0AG24	P0A7V0
P0A7V0	P25522	P0A7V0
P0A7V0	P0A8M3	P0A7V0
P0A7V0	P14294	P0A7V0
P0A7V0	P03018	P0A7V0
P0A7V0	P21499	P0A7V0
P0A7V0	P0AAR3	P0A7V0
P0A7V0	P0AAS7	P0A7V0
P0A7V0	P77319	P0A7V0
P0A7V0	P75829	P0A7V0
P0A7V0	P00892	P0A7V0
P0A7V0	P36979	P0A7V0
P0A7V0	P0A6L9	P0A7V0
P0A7V0	P0A776	P0A7V0
P0A7V0	P0AC28	P0A7V0
P0A7V0	P0A8I5	P0A7V0
P0A7V0	P37195	P0A7V0
P0A7V0	P31473	P0A7V0
P0A7V0	P0A9W0	P0A7V0
P0A7V0	P45748	P0A7V0
P0A7V0	P0A6Y5	P0A7V0
P0A7V3	P0A7V8	P0A7V3
P0A7V3	P0A6P5	P0A7V3
P0A7V3	P06709	P0A7V3
P0A7V3	P0A9Y6	P0A7V3
P0A7V3	P0A968	P0A7V3
P0A7V3	P0AED9	P0A7V3
P0A7V3	P0A6Q6	P0A7V3
P0A7V3	P0ADH5	P0A7V3
P0A7V3	P00960	P0A7V3
P0A7V3	P0A9M0	P0A7V3
P0A7V3	P33594	P0A7V3
P0A7V3	P0AFF6	P0A7V3
P0A7V3	P0AFG0	P0A7V3
P0A7V3	P0A7A7	P0A7V3
P0A7V3	P05055	P0A7V3
P0A7V3	P42184	P0A7V3
P0A7V3	P23830	P0A7V3
P0A7V3	P69407	P0A7V3
P0A7V3	P0A8J8	P0A7V3
P0A7V3	P0A8V2	P0A7V3
P0A7V3	P0AG24	P0A7V3
P0A7V3	P06612	P0A7V3
P0A7V3	P21499	P0A7V3
P0A7V3	P0AAS7	P0A7V3
P0A7V3	P76316	P0A7V3
P0A7V3	P39286	P0A7V3
P0A7V3	P0ACG8	P0A7V3
P0A7V3	P0A6Y5	P0A7V3
P0A7V3	P0A7K2	P0A7V3
P0A7V8	P0A7W1	P0A7V8
P0A7V8	P0ABH9	P0A7V8
P0A7V8	P0A9X9	P0A7V8
P0A7V8	P0A9Y6	P0A7V8
P0A7V8	P0A968	P0A7V8
P0A7V8	P0A9P6	P0A7V8
P0A7V8	P0A6Q6	P0A7V8
P0A7V8	P0A6X7	P0A7V8
P0A7V8	P0A6Y1	P0A7V8
P0A7V8	P33594	P0A7V8
P0A7V8	P0AFF6	P0A7V8
P0A7V8	P05055	P0A7V8
P0A7V8	P42184	P0A7V8
P0A7V8	P23830	P0A7V8
P0A7V8	P69407	P0A7V8
P0A7V8	P25539	P0A7V8
P0A7V8	P21513	P0A7V8
P0A7V8	P0AA43	P0A7V8
P0A7V8	P14081	P0A7V8
P0A7V8	P0A8G0	P0A7V8
P0A7V8	P21499	P0A7V8
P0A7V8	P00892	P0A7V8
P0A7V8	P0AGJ5	P0A7V8
P0A7V8	Q46906	P0A7V8
P0A7V8	P37195	P0A7V8
P0A7W1	P0A7K2	P0A7W1
P0A7W1	P0A7V3	P0A7W1
P0A7W1	P0A7L0	P0A7W1
P0A7W1	P64476	P0A7W1
P0A7W1	P76578	P0A7W1
P0A7W1	P0A9J0	P0A7W1
P0A7W1	P0ACJ8	P0A7W1
P0A7W1	P0A9Y6	P0A7W1
P0A7W1	P03004	P0A7W1
P0A7W1	P0A6P9	P0A7W1
P0A7W1	P0A6Q3	P0A7W1
P0A7W1	P0AGD7	P0A7W1
P0A7W1	P0ADH5	P0A7W1
P0A7W1	P0A6R3	P0A7W1
P0A7W1	P00960	P0A7W1
P0A7W1	P0A6X3	P0A7W1
P0A7W1	P28905	P0A7W1
P0A7W1	P43329	P0A7W1
P0A7W1	P0A6H5	P0A7W1
P0A7W1	P0AC75	P0A7W1
P0A7W1	P0A6I6	P0A7W1
P0A7W1	P0A7A7	P0A7W1
P0A7W1	P05055	P0A7W1
P0A7W1	P07012	P0A7W1
P0A7W1	P42184	P0A7W1
P0A7W1	P0A7E9	P0A7W1
P0A7W1	P30850	P0A7W1
P0A7W1	P0A7Y4	P0A7W1
P0A7W1	P0A7Y8	P0A7W1
P0A7W1	P60723	P0A7W1
P0A7W1	P0A7Z4	P0A7W1
P0A7W1	P0A8V2	P0A7W1
P0A7W1	P00579	P0A7W1
P0A7W1	P0A7W1	P0A7W1
P0A7W1	P60438	P0A7W1
P0A7W1	P0AG48	P0A7W1
P0A7W1	P0A7V0	P0A7W1
P0A7W1	P02358	P0A7W1
P0A7W1	P02359	P0A7W1
P0A7W1	P0A7R5	P0A7W1
P0A7W1	P0A7U3	P0A7W1
P0A7W1	P0A7U7	P0A7W1
P0A7W1	P02990	P0A7W1
P0A7W1	P0AEM0	P0A7W1
P0A7W1	P0A832	P0A7W1
P0A7W1	P15082	P0A7W1
P0A7W1	P05100	P0A7W1
P0A7W1	P0A847	P0A7W1
P0A7W1	P0A8M3	P0A7W1
P0A7W1	P0A850	P0A7W1
P0A7W1	P00954	P0A7W1
P0A7W1	P75767	P0A7W1
P0A7W1	P75829	P0A7W1
P0A7W1	P00892	P0A7W1
P0A7W1	P76104	P0A7W1
P0A7W1	P0A9X1	P0A7W1
P0A7W1	P76316	P0A7W1
P0A7W1	P0AGJ5	P0A7W1
P0A7W1	P0A776	P0A7W1
P0A7W1	P0A8I5	P0A7W1
P0A7W1	P0A8A8	P0A7W1
P0A7W1	P63177	P0A7W1
P0A7W1	P45748	P0A7W1
P0A7W1	P0A6Y5	P0A7W1
P02358	P0A7T7	P02358
P02358	P33224	P02358
P02358	P0ABH9	P02358
P02358	P08622	P02358
P02358	P06710	P02358
P02358	P0A6X3	P02358
P02358	P16528	P02358
P02358	P60785	P02358
P02358	P0AFG0	P02358
P02358	P0A799	P02358
P02358	P69405	P02358
P02358	P21513	P02358
P02358	P0A7Y8	P02358
P02358	P0A7Z4	P02358
P02358	P0A8V2	P02358
P02358	P00579	P02358
P02358	P0AG24	P02358
P02358	P25522	P02358
P02358	P0A8M3	P02358
P02358	P0A8G0	P02358
P02358	P0A8E5	P02358
P02358	P75829	P02358
P02358	P00892	P02358
P02358	P36979	P02358
P02358	P0A776	P02358
P02358	P0A8I5	P02358
P02358	P32701	P02358
P02358	P0A6Q3	P02358
P02358	P0ADH5	P02358
P02358	P68739	P02358
P02358	P0A7E9	P02358
P02358	P0A7Z4	P02358
P02358	P33570	P02358
P02358	P36879	P02358
P02358	P0AAS7	P02358
P02358	P0A8M6	P02358
P02358	P0AF63	P02358
P02358	P76116	P02358
P02358	P0AEB7	P02358
P02358	Q46856	P02358
P02358	P64581	P02358
P02358	P0A707	P02358
P02358	P0A6X3	P02358
P02358	P0A7Y8	P02358
P02359	P0A7S3	P02359
P02359	P76086	P02359
P02359	P36659	P02359
P02359	P63284	P02359
P02359	P0A9Y6	P02359
P02359	P0A968	P02359
P02359	P0A972	P02359
P02359	P0AED9	P02359
P02359	P03004	P02359
P02359	P0C0R7	P02359
P02359	P0A6W5	P02359
P02359	P15038	P02359
P02359	P0A6Y1	P02359
P02359	P43329	P02359
P02359	P10485	P02359
P02359	P0A7B8	P02359
P02359	P0A6Z3	P02359
P02359	P60785	P02359
P02359	P22523	P02359
P02359	P33594	P02359
P02359	P0A9L5	P02359
P02359	P42184	P02359
P02359	P67910	P02359
P02359	P0A8J8	P02359
P02359	P25539	P02359
P02359	P0A7Z4	P02359
P02359	P0A8T7	P02359
P02359	P0AEM0	P02359
P02359	P0AG24	P02359
P02359	P0A847	P02359
P02359	P0A8M3	P02359
P02359	P0A850	P02359
P02359	P06612	P02359
P02359	P0A8G0	P02359
P02359	P03018	P02359
P02359	P21499	P02359
P02359	P0ACN4	P02359
P02359	P75767	P02359
P02359	P00892	P02359
P02359	P37765	P02359
P02359	P36979	P02359
P02359	P0AGJ5	P02359
P02359	P0A776	P02359
P02359	P0A8I5	P02359
P02359	P0ADK8	P02359
P02359	P0A9W0	P02359
P02359	P33371	P02359
P02359	P0A850	P02359
P0A7W7	P0A7V8	P0A7W7
P0A7W7	P0A7W1	P0A7W7
P0A7W7	P0A7L0	P0A7W7
P0A7W7	P0A6A8	P0A7W7
P0A7W7	P0A9P6	P0A7W7
P0A7W7	P0ABT2	P0A7W7
P0A7W7	P0A707	P0A7W7
P0A7W7	P21645	P0A7W7
P0A7W7	P0A8G0	P0A7W7
P0A7W7	P21499	P0A7W7
P0A7W7	P0AGJ5	P0A7W7
P0A7W7	P0A9W0	P0A7W7
P0A7X3	P0A7S9	P0A7X3
P0A7X3	P0A7K6	P0A7X3
P0A7X3	P0A7N4	P0A7X3
P0A7X3	P0A9P6	P0A7X3
P0A7X3	P03004	P0A7X3
P0A7X3	P0A722	P0A7X3
P0A7X3	P0A7A7	P0A7X3
P0A7X3	P0A7W1	P0A7X3
P0A7X3	P0AG24	P0A7X3
P0A7X3	P21499	P0A7X3
P0A7R5	P0AG67	P0A7R5
P0A7R5	P0A8L7	P0A7R5
P0A7R5	P76578	P0A7R5
P0A7R5	P0A6G7	P0A7R5
P0A7R5	P0ACJ8	P0A7R5
P0A7R5	P0A9Y6	P0A7R5
P0A7R5	P0A972	P0A7R5
P0A7R5	P03004	P0A7R5
P0A7R5	P08622	P0A7R5
P0A7R5	P0ABT2	P0A7R5
P0A7R5	P0AEK4	P0A7R5
P0A7R5	P0A6R3	P0A7R5
P0A7R5	P0A9R7	P0A7R5
P0A7R5	P0A9A6	P0A7R5
P0A7R5	P28905	P0A7R5
P0A7R5	P0ABS8	P0A7R5
P0A7R5	P22939	P0A7R5
P0A7R5	P0AC75	P0A7R5
P0A7R5	P0A722	P0A7R5
P0A7R5	P21645	P0A7R5
P0A7R5	P0AE18	P0A7R5
P0A7R5	P31120	P0A7R5
P0A7R5	P0AFG0	P0A7R5
P0A7R5	P0A7A9	P0A7R5
P0A7R5	P42184	P0A7R5
P0A7R5	P0A7E9	P0A7R5
P0A7R5	P21513	P0A7R5
P0A7R5	P60723	P0A7R5
P0A7R5	P0A7Z4	P0A7R5
P0A7R5	P0A8V2	P0A7R5
P0A7R5	P0A8T7	P0A7R5
P0A7R5	P0A800	P0A7R5
P0A7R5	P0AA43	P0A7R5
P0A7R5	P25522	P0A7R5
P0A7R5	P0A8D0	P0A7R5
P0A7R5	P0AAR3	P0A7R5
P0A7R5	P77756	P0A7R5
P0A7R5	P0AFP2	P0A7R5
P0A7R5	P37765	P0A7R5
P0A7R5	P39199	P0A7R5
